timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533863975924090,-2,0,2,4,-1,-2,0,-2
1533863975924090,-1,-1,2,3,-2,0,1,-2
1533863975925087,0,-2,-1,6,0,1,-1,-1
1533863975925087,0,0,3,6,1,-2,-1,-1
1533863975926084,0,1,-2,3,1,1,0,1
1533863975926084,0,1,1,1,2,-2,-1,-2
1533863975927081,-2,-3,2,0,-1,-3,-4,-2
1533863975927081,-3,-5,-15,0,-4,-3,-1,-1
1533863975934075,0,-1,-3,-2,-2,-1,-2,0
1533863975934075,0,-1,-2,-1,-1,0,0,-1
1533863975938051,-1,-1,3,1,-3,-1,-1,0
1533863975938051,0,-1,4,-5,-1,0,0,-1
1533863975954007,-3,-2,0,-3,0,-3,0,-1
1533863975954007,0,2,5,27,1,3,2,1
1533863975960989,0,-2,-5,-40,-3,-3,-3,0
1533863975960989,-2,-1,-2,-3,-2,-2,-2,-1
1533863975968968,-1,-1,-2,1,-1,-1,-3,-1
1533863975968968,-1,-2,-2,-8,-1,-3,-1,-1
1533863975991907,0,2,0,16,2,0,1,-1
1533863975991907,-1,0,-3,-3,0,0,0,0
1533863976021825,-1,-1,-2,-14,-4,-1,-1,0
1533863976021825,-1,-3,-2,2,-2,-4,-1,-2
1533863976029805,0,-1,1,3,1,-3,-3,0
1533863976029805,-2,-1,1,1,-1,-3,0,-1
1533863976029805,-2,-1,1,1,0,-2,0,-1
1533863976029805,0,0,2,-1,-2,0,0,-1
1533863976031801,0,-2,-3,-6,-3,-1,-1,-1
1533863976031801,-3,-1,-4,-3,0,0,-2,-1
1533863976042773,0,0,1,6,0,0,0,-1
1533863976042773,-1,0,2,-1,-1,1,0,-1
1533863976051746,-1,-1,-1,13,0,-2,-1,-2
1533863976051746,-1,0,-5,-14,-2,-2,-1,-1
1533863976057734,-1,-1,-2,-6,-4,-1,-2,-1
1533863976057734,0,1,-1,-4,2,1,-2,-1
1533863976073688,-2,0,-1,4,-2,1,0,-1
1533863976073688,1,-3,1,15,1,-1,-1,-2
1533863976079679,-1,-2,-5,-15,-1,-2,-2,-2
1533863976079679,-2,-2,0,0,-1,-2,-1,-1
1533863976103608,-1,0,-4,-9,-2,-1,-1,0
1533863976103608,0,0,7,5,-2,0,0,2
1533863976104643,-3,0,9,21,2,0,1,2
1533863976104643,-3,-4,-15,-23,-2,-2,-2,-2
1533863976117571,-1,-1,1,-4,0,-1,0,-3
1533863976117571,2,0,-3,2,0,0,-1,-3
1533863976118567,1,0,0,10,2,-1,-2,-3
1533863976118567,-1,1,3,0,0,-1,-1,1
1533863976140545,-1,-1,-2,-7,-1,-1,0,-2
1533863976140545,0,0,2,-6,0,-3,0,1
1533863976141507,-1,-1,-1,0,-2,-1,1,-1
1533863976141507,-2,-3,-2,6,-2,0,-2,-2
1533863976163447,-1,-2,-3,-2,-2,-2,0,-1
1533863976163447,-1,-2,-2,1,-1,-2,-1,-2
1533863976163447,-1,-3,-5,-6,-2,-2,-2,0
1533863976163447,1,1,3,12,1,0,-1,0
1533863976178427,-1,-1,-1,-10,-1,0,-2,-2
1533863976178427,-4,-5,-7,0,-1,-1,-2,-3
1533863976178427,-1,0,-4,1,-2,-1,-2,0
1533863976178427,0,0,-3,0,-1,-2,-2,-1
1533863976200351,-1,-2,-1,19,2,1,0,-1
1533863976200351,-1,0,0,-17,-4,-1,-1,0
1533863976201346,-1,-2,-2,5,0,-2,-1,-2
1533863976201346,0,-1,0,-9,-2,-2,-1,-2
1533863976223291,1,0,-7,-6,-2,-2,-2,-1
1533863976223291,-3,-1,-1,2,1,2,-3,-1
1533863976224285,-2,-1,0,-2,-4,-1,-1,0
1533863976224285,0,-1,3,21,3,0,2,-1
1533863976238282,-1,0,7,-32,-4,-1,0,-1
1533863976238282,-4,-4,-17,-4,-2,-3,-2,-2
1533863976239278,-1,-2,-1,9,3,0,0,-2
1533863976239278,-1,-1,-3,-1,-2,-3,-2,-3
1533863976261203,-1,-1,1,6,1,0,-2,-1
1533863976261203,0,3,3,2,-2,0,-1,0
1533863976261203,0,0,-1,-9,-3,-2,-2,-2
