timestamp,x,y,z
1533863975742587,0.6875,-0.1875,0.5625
1533863975757550,1.6875,-0.25,0.4375
1533863975781469,1.25,-0.0625,0
1533863975802448,0.375,0,0
1533863975825352,-0.625,0,-0.125
1533863975841308,-0.5,0,0.0625
1533863975862253,0.125,0.1875,-0.0625
1533863975918106,0.8125,0.0625,-0.0625
1533863975920100,0.0625,0.0625,0.125
1533863975921097,0.0625,-0.1875,0.3125
1533863975932073,-0.0625,0.1875,0.0625
1533863975953010,-0.625,0.1875,0.125
1533863975967971,-0.5,0.125,0.375
1533863975992904,-0.5625,0.375,0.5
1533863976020842,-0.0625,0.4375,0.6875
1533863976030803,0,0.1875,0.3125
1533863976050752,-0.375,0.0625,0.0625
1533863976072690,-0.5,-0.125,-0.125
1533863976087650,-0.25,0.25,0.25
1533863976109592,-0.25,0.25,0.375
1533863976132532,-0.875,0.25,0.5625
1533863976147490,-0.25,0.1875,0.375
1533863976169435,-0.0625,-0.0625,0.3125
1533863976192373,-0.125,-0.125,0.75
1533863976207333,-0.25,-0.0625,0.75
1533863976230269,-1.125,0.3125,0.5
1533863976252210,-1.5625,0.25,0.8125
1533863976267170,-1.0625,0.25,1
1533863976290114,-0.875,0.3125,0.4375
1533863976312064,-1.3125,0,0.375
1533863976328010,-2.375,-0.1875,-0.0625
1533863976349952,-2.8125,-0.375,-0.375
1533863976372888,-3.875,-0.625,-0.1875
1533863976387889,-6.125,-0.4375,-0.875
1533863976409801,-5.875,-1.0625,-1
1533863976432726,-7.0625,-1.6875,-0.6875
1533863976447707,-5.9375,-2.9375,-2.25
1533863976469628,-1.3125,-4.4375,-2.5
1533863976492570,-0.5625,-5.75,-2.4375
1533863976507530,-2.4375,-5.5,-1.1875
1533863976529469,1.0625,-5.4375,0.75
1533863976553404,3.25,-4.75,0.875
1533863976567371,0.625,-3.8125,-0.125
1533863976590309,-2.1875,-1.9375,0.125
1533863976612256,-5.0625,-1.4375,0.75
1533863976627207,-6.0625,-0.3125,1.3125
1533863976650149,-5.8125,0,0.5625
1533863976672090,-5.75,0,-0.625
1533863976687047,-8.4375,-0.1875,-1.5625
1533863976709988,-7.5625,-0.75,-2.125
1533863976731927,-6.1875,-1.75,-2.1875
1533863976747884,-3.75,-3.6875,-3.375
1533863976769862,-2.4375,-5.125,-4.75
1533863976792767,-3,-5.5,-4.375
1533863976807938,-2.5,-6.6875,-3.9375
1533863976829666,-3.9375,-7.8125,-3.8125
1533863976852604,-0.125,-7.5625,-3.5625
1533863976867777,0.9375,-7.0625,-4.3125
1533863976890506,-0.5625,-5.5625,-5.4375
1533863976912445,-2.5,-6.5625,-4.1875
1533863976927407,-3.0625,-6.4375,-0.75
1533863976950346,-4.5625,-5.0625,1.3125
1533863976972482,-2,-3.5,3.8125
1533863976987249,6.75,-3.375,6.25
1533863977010377,5,-2.125,7.9375
1533863977032127,2.1875,-2.5625,10.4375
1533863977050076,6.9375,-6,10.875
1533863977070026,18.75,-8,11.6875
1533863977092986,27.75,-10.125,14.25
1533863977109916,32.5625,-10.8125,17.75
1533863977129863,36.375,-11.625,22.6875
1533863977152801,47,-14.25,27.3125
1533863977170787,56.625,-16.375,33.9375
1533863977191697,56.375,-17.1875,40.6875
1533863977215634,50.4375,-18.0625,43.9375
1533863977234584,57.4375,-21.625,44.625
1533863977251537,70.6875,-23.9375,48.0625
1533863977272481,83.125,-25.75,55.125
1533863977290432,80.6875,-25.9375,61.0625
1533863977311377,77.875,-29.875,62.5625
1533863977332324,84.75,-34.625,69.375
1533863977355263,89.3125,-38.5625,76.125
1533863977371217,88.875,-40.3125,80
1533863977392162,89.6875,-42.6875,84.8125
1533863977415110,93.8125,-49.25,91.8125
1533863977431057,94,-59.375,95.6875
1533863977452037,99.9375,-67.3125,96.5625
1533863977475179,107.625,-70.4375,102.813
1533863977491003,98.25,-73.4375,107.438
1533863977512944,89.75,-81.5,108.813
1533863977534888,85.8125,-88.3125,111.813
1533863977552837,84.4375,-93.9375,118.063
1533863977572783,74.25,-98.375,116.75
1533863977594728,60.6875,-104.813,112
1533863977612677,49.6875,-114.563,114.563
1533863977632626,32.8125,-123.625,117.125
1533863977654572,10.6875,-132.063,102.625
1533863977672530,-26.3125,-143,93.4375
1533863977692466,-42.25,-146.563,100.188
1533863977715405,-50.75,-143.75,90.125
1533863977732356,-79.375,-145.625,67.6875
1533863977752309,-113.313,-153.813,62.9375
1533863977775245,-125.375,-156.875,63.8125
1533863977793194,-139.438,-155.563,44.375
1533863977812157,-166.063,-154.563,31.9375
1533863977835260,-170.813,-149.875,29.9375
1533863977853060,-165.188,-143.563,21.4375
1533863977879976,-182.125,-136.813,9.0625
1533863977894925,-198.188,-122,0
1533863977912873,-205.25,-103.063,-6.25
1533863977932947,-201.938,-85.6875,-5.1875
1533863977954761,-201.188,-82.5,-11.5625
1533863977972725,-206.5,-80.5625,-27.4375
1533863977992660,-200.063,-63.8125,-43.3125
1533863978015599,-194,-33.75,-63.25
1533863978032554,-193.313,-12.75,-83.625
1533863978052500,-187.125,-5.3125,-69.5
1533863978074450,-170.813,7.625,-64.0625
1533863978092402,-165.688,10.25,-67.125
1533863978112349,-137.625,17.5,-61.375
1533863978135343,-99.9375,17.625,-35.5
1533863978153290,-77.3125,9.875,4.4375
1533863978174236,-58.3125,-1.0625,14.25
1533863978195180,-45.4375,-9.5,4.5625
1533863978213133,-38,-14.3125,-7
1533863978234076,-34.75,-11.9375,-12.1875
1533863978255022,-32.4375,-2.25,-18.5625
1533863978273006,-32.625,8.6875,-19.5625
1533863978293915,-35.6875,12.8125,-22.75
1533863978314988,-42.875,14.9375,-24.9375
1533863978332812,-47.375,16.375,-23.375
1533863978353755,-39.9375,14.625,-24.8125
1533863978374705,-29.875,7.625,-27.875
1533863978392651,-20.5,0.875,-31.3125
1533863978412610,-14.4375,1,-33.3125
1533863978435563,-7.625,3.125,-41.875
1533863978452491,-5,0.1875,-44.4375
1533863978473439,-12.3125,-4.8125,-40.375
1533863978495491,-13.125,-2.5,-33.8125
1533863978512430,-13.375,3.4375,-30.5
1533863978534371,-18.625,6.4375,-31.125
1533863978555351,-15.1875,3.3125,-29
1533863978572269,-6.75,1.3125,-19.125
1533863978602190,-2.5625,2,-9.3125
1533863978616206,-7.25,5.25,-3.875
1533863978632138,-9.25,6.125,-1
1533863978655048,-11.25,6.125,-0.5
1533863978669011,-8.875,4,3.5625
1533863978691965,-5.0625,2.875,10.9375
1533863978714888,3.5625,0.8125,14.3125
1533863978735835,12.4375,-2.8125,17.375
1533863978751790,13,-12.125,25.0625
1533863978774727,23.625,-21,43
1533863978795672,49.875,-21.125,65.125
1533863978811630,62.875,-10.125,74.1875
1533863978834579,51.5625,-1.25,72.9375
1533863978855519,39.375,4.875,70.125
1533863978879452,36.0625,12.3125,65.4375
1533863978894409,45.6875,16.625,60.625
1533863978915352,46.8125,18.75,51.6875
1533863978932343,42,24.8125,28.6875
1533863978954248,39.875,35.875,2.375
1533863978976252,24.5625,40.5,-20.25
1533863978992148,26.625,33.375,-30
1533863979015087,42.0625,17.3125,-15.875
1533863979036034,60.25,4.5625,3.5
1533863979051986,74.3125,-2.3125,16.5
1533863979074953,91.625,2.5,24.8125
1533863979095869,106.563,15.25,31.5625
1533863979111845,111.375,25.6875,34
1533863979134798,107.813,30,34.3125
