timestamp,x,y,z,w
1533863975742587,-0.411621,0.26239,-0.47229,0.733887
1533863975757550,-0.411377,0.262268,-0.472351,0.73407
1533863975781469,-0.411194,0.262085,-0.472412,0.734192
1533863975802448,-0.411194,0.262085,-0.472412,0.734192
1533863975825352,-0.411194,0.262085,-0.472412,0.734192
1533863975841308,-0.411194,0.262085,-0.472412,0.734192
1533863975862253,-0.411194,0.262085,-0.472412,0.734192
1533863975918106,-0.411194,0.262085,-0.472412,0.734192
1533863975920100,-0.411194,0.262085,-0.472412,0.734192
1533863975921097,-0.411133,0.262024,-0.472412,0.734192
1533863975932073,-0.411133,0.262024,-0.472412,0.734253
1533863975953010,-0.411133,0.262024,-0.472473,0.734253
1533863975967971,-0.411133,0.262024,-0.472473,0.734253
1533863975992904,-0.411133,0.262024,-0.472473,0.734253
1533863976020842,-0.411133,0.262024,-0.472473,0.734253
1533863976030803,-0.411133,0.262024,-0.472473,0.734253
1533863976050752,-0.411072,0.262024,-0.472473,0.734253
1533863976072690,-0.411072,0.261963,-0.472473,0.734253
1533863976087650,-0.411072,0.261963,-0.472473,0.734253
1533863976109592,-0.411072,0.261963,-0.472473,0.734253
1533863976132532,-0.411072,0.261963,-0.472473,0.734253
1533863976147490,-0.411072,0.261963,-0.472473,0.734314
1533863976169435,-0.411072,0.261963,-0.472473,0.734253
1533863976192373,-0.411072,0.261963,-0.472473,0.734314
1533863976207333,-0.411011,0.261963,-0.472473,0.734314
1533863976230269,-0.411072,0.262146,-0.472412,0.734253
1533863976252210,-0.411194,0.262329,-0.472229,0.734192
1533863976267170,-0.411255,0.262512,-0.472107,0.734253
1533863976290114,-0.411194,0.262512,-0.472107,0.734253
1533863976312064,-0.411316,0.262634,-0.471985,0.734192
1533863976328010,-0.411743,0.262817,-0.471863,0.733948
1533863976349952,-0.41217,0.262939,-0.471802,0.733765
1533863976372888,-0.412537,0.263123,-0.471619,0.733582
1533863976387889,-0.413269,0.263306,-0.471558,0.733154
1533863976409801,-0.414001,0.263428,-0.471436,0.732788
1533863976432726,-0.414734,0.263855,-0.471008,0.732483
1533863976447707,-0.415588,0.263916,-0.470764,0.732178
1533863976469628,-0.416138,0.263367,-0.470642,0.732117
1533863976492570,-0.416626,0.262512,-0.47052,0.732178
1533863976507530,-0.417419,0.261902,-0.470154,0.732178
1533863976529469,-0.417664,0.261169,-0.469727,0.732605
1533863976553404,-0.417603,0.260315,-0.469421,0.733154
1533863976567371,-0.41803,0.259644,-0.469238,0.733215
1533863976590309,-0.418823,0.259521,-0.469055,0.732971
1533863976612256,-0.419861,0.259705,-0.468628,0.732544
1533863976627207,-0.420776,0.260315,-0.46814,0.732117
1533863976650149,-0.421631,0.260925,-0.467773,0.731628
1533863976672090,-0.422302,0.261475,-0.467529,0.731262
1533863976687047,-0.423462,0.262085,-0.467285,0.73053
1533863976709988,-0.4245,0.26239,-0.467163,0.729858
1533863976731927,-0.425232,0.262573,-0.467041,0.729431
1533863976747884,-0.425781,0.262146,-0.467041,0.729309
1533863976769862,-0.426392,0.261292,-0.467163,0.729187
1533863976792767,-0.427063,0.260437,-0.467224,0.729004
1533863976807938,-0.427734,0.259338,-0.467224,0.729004
1533863976829666,-0.428833,0.25824,-0.467041,0.728882
1533863976852604,-0.429504,0.256958,-0.466919,0.729004
1533863976867777,-0.430115,0.255737,-0.46698,0.729065
1533863976890506,-0.430908,0.254761,-0.467163,0.728821
1533863976912445,-0.431885,0.253906,-0.467041,0.728638
1533863976927407,-0.432678,0.253235,-0.466553,0.728699
1533863976950346,-0.433777,0.253235,-0.465698,0.728577
1533863976972482,-0.434387,0.253479,-0.464722,0.72876
1533863976987249,-0.433533,0.253113,-0.463867,0.729919
1533863977010377,-0.432739,0.253113,-0.462891,0.731018
1533863977032127,-0.43219,0.253418,-0.461426,0.732178
1533863977050076,-0.431213,0.252991,-0.459839,0.733887
1533863977070026,-0.428772,0.251221,-0.458679,0.736694
1533863977092986,-0.42511,0.248901,-0.457214,0.740479
1533863977109916,-0.420837,0.246338,-0.455444,0.744812
1533863977129863,-0.415894,0.243591,-0.453186,0.749878
1533863977152801,-0.409485,0.240051,-0.450562,0.756104
1533863977170787,-0.401428,0.23584,-0.447205,0.763672
1533863977191697,-0.393188,0.232117,-0.44281,0.771667
1533863977215634,-0.385986,0.229309,-0.437439,0.779175
1533863977234584,-0.378357,0.225525,-0.431885,0.787048
1533863977251537,-0.369324,0.220703,-0.426147,0.795776
1533863977272481,-0.358276,0.215027,-0.419739,0.805725
1533863977290432,-0.347473,0.2099,-0.412231,0.815613
