timestamp,x,y,z
1533862083435254,1.3125,0.9375,-1.75
1533862083457210,0,0.875,-0.875
1533862083481131,-1.25,1.125,-0.5625
1533862083497088,-1.0625,1.3125,-0.25
1533862083519033,0.25,1.9375,0.1875
1533862083539973,-0.3125,2.9375,0.8125
1533862083554937,-0.9375,2.75,0.625
1533862083593830,-0.3125,2.9375,0.5625
1533862083596821,0.3125,2.8125,0.1875
1533862083615810,0.625,1.6875,0
1533862083630751,0.5625,1.125,0.0625
1533862083654667,0.1875,0.75,-0.0625
1533862083675833,1.125,0.625,-0.25
1533862083719497,1.375,0.5,-0.4375
1533862083729470,0.5625,0.125,-0.25
1533862083736448,-0.125,0.6875,-0.0625
1533862083751408,0.625,0.6875,0.375
1533862083773350,1.0625,1,0.4375
1533862083794297,0.6875,1.25,0.375
1533862083810288,0.1875,1.3125,0.5
1533862083832207,0.25,1.25,0.5625
1533862083855130,-0.4375,1.0625,0.8125
1533862083870094,-0.5,1.375,0.625
1533862083901008,-1.1875,1.3125,0
1533862083914970,-1.625,1.3125,0.25
1533862083929930,-2.25,1.3125,0.0625
1533862083952891,-2.3125,0.4375,-0.125
1533862083974814,-0.4375,0.4375,-0.5625
1533862083989771,0.125,0.0625,-1
1533862084012712,-0.875,0.1875,-1.1875
1533862084034654,-0.8125,-0.25,-1.1875
1533862084049771,0.0625,-0.5,-1
1533862084072673,0.75,-0.3125,-1.3125
1533862084103468,0.6875,-0.125,-1.375
1533862084109450,-0.375,0.0625,-1.25
1533862084132389,-0.4375,0.25,-1.3125
1533862084154331,0.5625,0.1875,-1.125
1533862084170291,0.5625,0.625,-1.0625
1533862084192230,0.25,1,-1.0625
1533862084215171,0.1875,1.0625,-0.875
1533862084230129,0.8125,0.875,-0.625
1533862084254064,1.375,0.5625,-0.875
1533862084275008,1.25,0.5,-0.875
1533862084289967,0.1875,0.375,-0.875
1533862084311912,-0.75,0.3125,-0.6875
1533862084334851,-1.375,0.375,-1.0625
1533862084349811,-0.625,0.1875,-1.0625
1533862084372746,0.375,0.1875,-1
1533862084394691,1.125,0,-0.8125
1533862084409651,1.3125,0.1875,-0.9375
1533862084432590,0.6875,-0.25,-0.6875
1533862084454742,0.1875,-0.375,-0.5625
1533862084469488,0,0.375,-0.1875
1533862084492427,-1.6875,0.5,-0.25
1533862084514371,-2.8125,-1.5,-1.5
1533862084529332,-2.3125,-3.375,-1
1533862084552472,-0.6875,-3.875,0.375
1533862084575205,1.5625,-2.5625,-0.5625
1533862084590174,1.25,-1.375,-0.75
1533862084612314,-1.8125,-1.0625,0.125
1533862084635048,-3.4375,-1.125,1.3125
1533862084650005,-1.8125,-1.0625,2.25
1533862084671945,0.4375,-0.3125,3.5625
1533862084694885,0.5,0.875,4.5625
1533862084711053,-0.375,2.3125,5.5625
1533862084731790,-1.1875,2.375,6.3125
1533862084754728,-1.0625,1.1875,6.4375
1533862084771692,-0.5,0,7.3125
1533862084792639,1.625,-0.625,6.9375
1533862084814568,1.375,-1.5,6.1875
1533862084832517,-1.4375,-3.9375,5.625
1533862084859448,-2.75,-6.625,6.75
1533862084874405,1.75,-7.1875,7.3125
1533862084892356,1.625,-5.4375,6.0625
1533862084912307,-7.875,-8.375,6.1875
1533862084935258,1.75,-10.1875,9.125
1533862084959180,-1.3125,-7.9375,11.6875
1533862084972155,0.25,-7.8125,13.4375
1533862084995082,0.5,-4.125,10
1533862085013034,-0.125,-0.75,11
1533862085031987,-3.3125,0.0625,15.5
1533862085061907,-2.4375,-3,18.125
1533862085072894,3.1875,-5.9375,16
1533862085091826,0.9375,-6.4375,18.75
1533862085114765,7.25,-7.0625,28.1875
1533862085132714,15,-8.8125,31.25
1533862085152680,15.3125,-13.375,37
1533862085174602,12.6875,-16.375,42.3125
1533862085198544,18.125,-18.4375,46.5625
1533862085212500,29.25,-21.75,47.125
1533862085234445,31.5625,-24.75,47.9375
1533862085252394,31.5625,-27.8125,48.3125
1533862085272343,38.875,-28.9375,47.8125
1533862085295282,46.0625,-34.375,44.125
1533862085312248,47.9375,-43.125,39.125
1533862085334175,43.1875,-55.375,21.125
1533862085355122,42,-69.0625,8.875
1533862085373107,48.4375,-73.3125,2.5625
1533862085392024,53.625,-70.4375,1.125
1533862085414975,60.125,-66.4375,2.1875
1533862085432911,51.625,-58.3125,-0.875
1533862085452857,37.3125,-55.375,-13.3125
1533862085475800,27.3125,-46.0625,-16.125
1533862085492751,28.0625,-30.75,-17
1533862085513694,29.0625,-14.6875,-7.0625
1533862085534642,31.0625,-4.1875,2.75
1533862085552596,29.375,-5.3125,5.9375
1533862085573536,22.875,-11.5,0.5625
1533862085594482,19.6875,-17.0625,-4.5625
1533862085612447,24.5625,-16.4375,-5.8125
1533862085633374,30.375,-14.125,-4.8125
1533862085655320,32.4375,-11.625,-5.5625
1533862085672272,27.0625,-12.5,-9.125
1533862085693249,20.5,-13.8125,-10
1533862085715159,20.5,-10.375,-6.75
1533862085733107,25.125,-1.3125,-4.25
1533862085755048,24.125,0.1875,-0.9375
1533862085774999,15.5625,-0.5,-0.6875
1533862085792948,11.6875,0.6875,0.875
1533862085813892,19.375,1,5.0625
1533862085834844,26.1875,0.5625,1.625
1533862085852787,19.125,-0.875,-0.75
1533862085875782,11.3125,-3.875,-5.6875
1533862085894676,12.25,-10.9375,-9.9375
1533862085912637,16.0625,-14.3125,-12.8125
1533862085935567,15.5625,-16.5,-15.9375
1533862085954519,12.6875,-15.25,-12.4375
1533862085972468,8.8125,-15.6875,-15.25
1533862085995422,6.5625,-11,-10.3125
1533862086015356,2.8125,-8.375,-3
1533862086032308,2,-3.375,-1.5
1533862086055248,0.375,-1.25,3.4375
1533862086075204,1.625,-0.625,5.375
1533862086093149,-3.5,1.6875,11.5
1533862086114092,1.5,0.8125,16.5
1533862086135033,1.5,6.4375,17.8125
1533862086156976,-3.875,3.8125,26.4375
1533862086174926,5.25,-0.25,24.5625
1533862086194876,4.1875,6.3125,28.9375
1533862086212843,-4.8125,4.5625,39.25
1533862086235763,5.6875,5.125,45.4375
1533862086254714,16.75,11.5625,44
1533862086272683,9.375,19.875,54.125
1533862086295607,-2.75,34.1875,69.8125
1533862086314556,-0.125,37.375,76.4375
