timestamp,x,y,z
1533864477722923,0.168457,-0.800293,0.625488
1533864477746903,0.157715,-0.808594,0.616211
1533864477767852,0.159668,-0.798828,0.615234
1533864477782764,0.160156,-0.807129,0.62207
1533864477805722,0.165527,-0.803223,0.612793
1533864477829764,0.168457,-0.79834,0.606934
1533864477850582,0.160156,-0.803711,0.596191
1533864477895476,0.164551,-0.816406,0.605469
1533864477907431,0.168457,-0.822266,0.612305
1533864477908428,0.17041,-0.810547,0.606934
1533864477921392,0.171875,-0.815918,0.600586
1533864477941374,0.166504,-0.824219,0.612793
1533864477956303,0.176758,-0.831543,0.625488
1533864477981247,0.176758,-0.830566,0.612793
1533864478008160,0.178711,-0.824707,0.620117
1533864478020136,0.155762,-0.826172,0.632813
1533864478038096,0.166016,-0.830078,0.645508
1533864478053055,0.204102,-0.849121,0.625977
1533864478074982,0.214844,-0.837891,0.626465
1533864478097937,0.205566,-0.816406,0.638672
1533864478119872,0.189453,-0.812012,0.618652
1533864478134826,0.213867,-0.807129,0.621582
1533864478157761,0.257813,-0.85791,0.641602
1533864478180700,0.270996,-0.890625,0.570313
1533864478195659,0.232422,-0.841309,0.537109
1533864478217604,0.219238,-0.78418,0.50293
1533864478240745,0.253418,-0.762695,0.501953
1533864478255711,0.277832,-0.765625,0.466309
1533864478277444,0.265137,-0.788086,0.462402
1533864478300382,0.28125,-0.791504,0.459473
1533864478315339,0.289063,-0.790039,0.462891
1533864478337284,0.307617,-0.808594,0.498535
1533864478353237,0.319336,-0.817383,0.547363
1533864478383293,0.273926,-0.821777,0.560059
1533864478398139,0.265625,-0.820801,0.558594
1533864478413081,0.274414,-0.820801,0.602539
1533864478435019,0.260254,-0.844238,0.602051
1533864478457961,0.260254,-0.859375,0.633789
1533864478479916,0.262695,-0.804199,0.635742
1533864478494980,0.256836,-0.828125,0.604492
1533864478517803,0.261719,-0.881836,0.616699
1533864478540754,0.276855,-0.926758,0.585449
1533864478555696,0.274902,-0.847656,0.547852
1533864478577641,0.250977,-0.905273,0.536133
1533864478600577,0.208496,-0.992188,0.54834
1533864478615536,0.167969,-0.994629,0.54248
1533864478637684,0.140137,-0.960938,0.537598
1533864478660634,0.113281,-0.924805,0.518066
1533864478675376,0.0878906,-0.898438,0.510742
1533864478697319,0.0791016,-0.871094,0.504395
1533864478720259,0.0698242,-0.883301,0.489258
1533864478735520,0.0249023,-0.896973,0.45752
1533864478757465,-0.00830078,-0.84668,0.464355
1533864478780466,-0.0385742,-0.824219,0.393066
1533864478796358,-0.0371094,-0.839844,0.353027
1533864478818300,-0.0493164,-0.856445,0.34375
1533864478840243,-0.059082,-0.814941,0.350586
1533864478855206,-0.0561523,-0.819824,0.367188
1533864478878142,-0.0771484,-0.806152,0.349121
1533864478900083,-0.0307617,-0.812988,0.344238
1533864478917035,0.0166016,-0.835449,0.368164
1533864478937982,-0.0371094,-0.884277,0.353516
1533864478959938,-0.0712891,-0.900391,0.366699
1533864478974885,-0.120117,-0.879883,0.38623
1533864478997892,-0.182617,-0.911133,0.362305
1533864479019761,-0.212891,-0.905273,0.349609
1533864479038833,-0.203613,-0.92627,0.333496
1533864479057662,-0.205078,-0.922852,0.35498
1533864479080603,-0.222656,-0.931152,0.375977
1533864479098551,-0.225586,-0.911133,0.36377
1533864479117498,-0.195313,-0.925781,0.358398
1533864479140443,-0.166016,-0.954102,0.358887
1533864479158649,-0.155762,-0.976074,0.327637
1533864479179590,-0.148438,-0.949707,0.34082
1533864479200537,-0.150391,-0.938477,0.368164
1533864479218486,-0.148926,-0.970215,0.38623
1533864479239436,-0.202148,-0.962402,0.366211
1533864479260408,-0.259766,-0.907715,0.483398
1533864479278326,-0.416504,-2.30225,0.424316
1533864479299277,-0.615234,-0.355957,0.379395
1533864479320249,0.105469,-0.606445,0.352051
1533864479346150,-0.543945,-1.13525,0.241211
1533864479359110,-0.501465,-0.905273,0.382813
1533864479380056,-0.453613,-0.76416,0.37793
1533864479405985,-0.433594,-0.797852,0.374023
1533864479418949,-0.499023,-0.812988,0.297363
1533864479439925,-0.506836,-0.864258,0.292969
1533864479457846,-0.574707,-0.841309,0.362305
1533864479480785,-0.571777,-0.731934,0.381836
1533864479500731,-0.580078,-0.696289,0.432617
1533864479517685,-0.557617,-0.714355,0.376953
1533864479546607,-0.549805,-0.786133,0.373047
1533864479560574,-0.530762,-0.783203,0.368652
1533864479578523,-0.542969,-0.78125,0.395508
1533864479600464,-0.549805,-0.707031,0.381348
1533864479620517,-0.570313,-0.782715,0.364746
1533864479637473,-0.574219,-0.774414,0.390137
1533864479667408,-0.563965,-0.775879,0.398438
1533864479681356,-0.53418,-0.755859,0.399902
1533864479697312,-0.519531,-0.761719,0.40625
1533864479720250,-0.531738,-0.763672,0.382324
1533864479741194,-0.522949,-0.797852,0.376465
1533864479757155,-0.516602,-0.79834,0.37793
1533864479780099,-0.537598,-0.765625,0.382324
1533864479794072,-0.546387,-0.743652,0.37207
1533864479816991,-0.585938,-0.763184,0.351563
1533864479839931,-0.599609,-0.815918,0.321777
1533864479862869,-0.574219,-0.820801,0.321289
1533864479877829,-0.538086,-0.808594,0.334473
1533864479899770,-0.518555,-0.823242,0.360352
1533864479920717,-0.510254,-0.804688,0.367188
1533864479937677,-0.526367,-0.79541,0.357422
1533864479959615,-0.540039,-0.783203,0.347656
1533864479980554,-0.543945,-0.784668,0.355469
1533864479997509,-0.556152,-0.783203,0.362793
1533864480019484,-0.55957,-0.786133,0.353027
1533864480048373,-0.548828,-0.787598,0.358398
1533864480057367,-0.541992,-0.775391,0.356934
1533864480086279,-0.532715,-0.785645,0.369629
1533864480108213,-0.541504,-0.78125,0.368652
1533864480117201,-0.548828,-0.77832,0.35498
1533864480140138,-0.54248,-0.789551,0.359375
1533864480162071,-0.537598,-0.791992,0.354492
1533864480177032,-0.531738,-0.808105,0.361328
1533864480199967,-0.536133,-0.797852,0.362305
1533864480220911,-0.533203,-0.814941,0.350586
1533864480243853,-0.53125,-0.811523,0.351563
1533864480259807,-0.539551,-0.811035,0.350586
1533864480280764,-0.509766,-0.820313,0.379395
1533864480297706,-0.492676,-0.800293,0.39209
1533864480327629,-0.489746,-0.79834,0.403809
1533864480340591,-0.517578,-0.783203,0.394043
1533864480364528,-0.525879,-0.775879,0.399902
1533864480379490,-0.528809,-0.778809,0.404297
1533864480402425,-0.516602,-0.77832,0.411621
1533864480417385,-0.500977,-0.768066,0.425781
1533864480440339,-0.492188,-0.786133,0.412598
1533864480462266,-0.510254,-0.784668,0.397949
1533864480477226,-0.513672,-0.804199,0.378906
1533864480507146,-0.523438,-0.823242,0.361816
1533864480522109,-0.523926,-0.812988,0.361328
1533864480545048,-0.510254,-0.792969,0.385742
1533864480566986,-0.494141,-0.767578,0.417969
1533864480589924,-0.479492,-0.789063,0.423828
1533864480596906,-0.477051,-0.790039,0.44043
1533864480619844,-0.475586,-0.779297,0.442871
1533864480642783,-0.473145,-0.772461,0.445801
1533864480663736,-0.476074,-0.763672,0.419434
1533864480679694,-0.440918,-0.78418,0.434082
1533864480702623,-0.445313,-0.806641,0.445801
1533864480723570,-0.443848,-0.849121,0.390625
1533864480739527,-0.415039,-0.847656,0.360352
1533864480762463,-0.374512,-0.84375,0.389648
1533864480783410,-0.347656,-0.850098,0.42334
1533864480800362,-0.115723,-0.890137,0.459473
1533864480822303,-0.17334,-0.938477,0.486816
1533864480843247,-0.240723,-0.970215,0.479492
1533864480860201,-0.144531,-0.983887,0.493164
1533864480882143,-0.0703125,-0.990723,0.478516
1533864480903090,-0.012207,-0.97168,0.431152
1533864480920041,0.0371094,-0.935547,0.462891
1533864480941986,0.0761719,-0.911621,0.441406
1533864480962930,0.121582,-0.890625,0.380371
1533864480979881,0.12207,-0.89209,0.34082
1533864481002820,0.0922852,-0.900879,0.348633
1533864481024939,0.0703125,-0.939941,0.331055
1533864481039877,0.0668945,-0.915527,0.321289
1533864481062817,0.0864258,-0.903809,0.292969
1533864481083764,0.0786133,-0.97168,0.349609
1533864481098721,0.0415039,-1.02637,0.339844
1533864481122657,0.0283203,-1.01172,0.304199
1533864481143604,0.0258789,-0.983398,0.285156
1533864481159558,0.0126953,-1.03906,0.327148
1533864481182496,-0.0253906,-1.09766,0.335449
1533864481203441,-0.0463867,-1.0874,0.306641
1533864481219397,-0.0483398,-1.05518,0.311035
1533864481242337,-0.0668945,-1.0415,0.316895
1533864481263283,-0.117676,-1.01611,0.30127
1533864481279237,-0.0917969,-0.984863,0.302246
1533864481302214,-0.0888672,-0.916504,0.296387
1533864481323324,-0.0722656,-0.930664,0.298828
1533864481339078,-0.0288086,-0.967285,0.302734
1533864481362057,0.00537109,-0.962891,0.320801
1533864481384995,0.0390625,-0.9375,0.332031
1533864481398958,0.074707,-0.904785,0.313965
1533864481422894,0.125488,-0.907715,0.304688
1533864481444835,0.268555,-1.20898,0.266113
1533864481458798,0.191895,-1.30469,0.35498
1533864481482734,0.0424805,-0.998047,0.372559
1533864481504675,0.166016,-0.803711,0.34082
1533864481525653,0.230469,-0.783691,0.425293
1533864481542575,0.206055,-1.02539,0.431152
1533864481564515,0.230957,-1.08154,0.419922
1533864481585462,0.235352,-1.00293,0.426758
1533864481602419,0.231445,-0.914063,0.398926
1533864481625353,0.250977,-0.886719,0.394531
1533864481639585,0.24707,-0.920898,0.372559
1533864481662523,0.240234,-0.941895,0.348633
1533864481684440,0.246094,-0.950684,0.333496
1533864481699433,0.24707,-0.937012,0.335449
1533864481722336,0.229492,-0.904785,0.329102
1533864481745275,0.23291,-0.901367,0.319824
1533864481759236,0.237793,-0.916992,0.332031
1533864481782178,0.244141,-0.928711,0.34375
1533864481805115,0.243652,-0.931641,0.362305
1533864481819077,0.224121,-0.928711,0.369629
1533864481842015,0.233887,-0.937012,0.355469
1533864481864954,0.231445,-0.944336,0.367188
1533864481885900,0.243652,-0.951172,0.375977
1533864481902852,0.260742,-0.898438,0.380859
1533864481924817,0.244141,-0.889648,0.367188
1533864481945752,0.273926,-0.921875,0.365234
1533864481962693,0.269043,-0.921387,0.376465
1533864481992613,0.251953,-0.939941,0.363281
1533864482005582,0.242676,-0.918457,0.362305
1533864482022533,0.248047,-0.916504,0.360352
1533864482050461,0.239258,-0.921387,0.366699
1533864482066416,0.226563,-0.916992,0.379883
1533864482082375,0.197754,-0.898438,0.358887
1533864482105312,0.220215,-0.939941,0.357422
1533864482126255,0.226563,-0.973633,0.359375
1533864482142213,0.203613,-0.96582,0.383789
1533864482165151,0.182129,-0.931641,0.397949
1533864482186094,0.158691,-0.943848,0.383789
1533864482202063,0.151367,-1.00244,0.371582
1533864482224991,0.138184,-1.03369,0.378906
1533864482246136,0.0791016,-1.03369,0.400391
1533864482269887,0.043457,-1.01709,0.412598
1533864482285042,0.0219727,-1.02295,0.434082
1533864482306985,0.0131836,-1.0542,0.440918
1533864482321945,-0.00488281,-1.06982,0.453613
1533864482344882,-0.0395508,-1.07861,0.445801
1533864482367821,-0.078125,-1.07227,0.455078
1533864482388765,-0.100586,-1.06738,0.459473
1533864482404722,-0.10498,-1.0791,0.455078
1533864482427661,-0.104492,-1.07813,0.438477
1533864482441623,-0.0869141,-1.06152,0.433105
1533864482464564,-0.0854492,-1.01563,0.421875
1533864482487501,-0.0947266,-0.984863,0.387207
1533864482508448,-0.0869141,-0.958008,0.364258
1533864482524402,-0.0878906,-0.929199,0.36084
1533864482548338,-0.106445,-0.87207,0.364746
1533864482568285,-0.0996094,-0.821777,0.345703
1533864482585241,-0.0898438,-0.775879,0.34375
1533864482607180,-0.0952148,-0.747559,0.351563
1533864482629122,-0.112305,-0.722656,0.344727
1533864482645080,-0.0991211,-0.697754,0.33252
1533864482667021,-0.120117,-0.657715,0.365234
1533864482688963,-0.150391,-0.660645,0.405762
1533864482704924,-0.186523,-0.647461,0.419922
1533864482727858,-0.184082,-0.626953,0.431152
1533864482748802,-0.180664,-0.621094,0.437988
1533864482764760,-0.205078,-0.639648,0.456055
1533864482787698,-0.217285,-0.650879,0.455078
1533864482808652,-0.212402,-0.662109,0.4375
1533864482824603,-0.262207,-0.70752,0.427734
1533864482847551,-0.274902,-0.75,0.475586
1533864482868485,-0.321777,-0.868164,0.518066
1533864482884440,-0.396973,-0.930176,0.48877
1533864482907378,-1.07813,-3.19629,0.669922
1533864482928325,-1.05566,-0.54834,0.228516
1533864482945276,0.507813,-0.416992,0.13916
1533864482967218,-0.657227,-1.37012,0.338379
1533864482989266,-0.400879,-0.869141,0.245117
1533864483005117,-0.405273,-1.03467,0.192383
1533864483027228,-0.443359,-0.979492,0.322754
1533864483048002,-0.369141,-0.927734,0.369629
1533864483063960,-0.371094,-0.922852,0.461914
1533864483087894,-0.420898,-0.793945,0.449707
1533864483108842,-0.431641,-0.799805,0.43457
1533864483123983,-0.459473,-0.748047,0.429199
1533864483147736,-0.429199,-0.830566,0.453613
1533864483168680,-0.456055,-0.760254,0.448242
1533864483184636,-0.489258,-0.743164,0.445313
1533864483207575,-0.516602,-0.713867,0.479004
1533864483228519,-0.541016,-0.72168,0.419434
1533864483244476,-0.55127,-0.688965,0.393555
1533864483267415,-0.584473,-0.709473,0.406738
1533864483290357,-0.622559,-0.680664,0.418457
