acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w,orie_x,orie_y,orie_z
0.168457,-0.800293,0.625488,-2.1875,-0.0625,-1,-0.395325,0.212219,-0.569519,0.688721,-0.921084,-0.158635,-1.30307
0.157715,-0.808594,0.616211,-3,-1.125,-1.1875,-0.395813,0.212341,-0.569458,0.688477,-0.922154,-0.159084,-1.30302
0.159668,-0.798828,0.615234,-3.0625,-1.3125,-1.8125,-0.39624,0.21228,-0.569519,0.688171,-0.922844,-0.159842,-1.30307
0.160156,-0.807129,0.62207,-2.25,-1.375,-2.25,-0.396606,0.212158,-0.569641,0.687866,-0.923336,-0.160664,-1.30321
0.165527,-0.803223,0.612793,-2.5,-1.9375,-2.25,-0.397156,0.211975,-0.569702,0.687561,-0.924117,-0.161734,-1.30314
0.168457,-0.79834,0.606934,-4.875,-1.875,-2.375,-0.39801,0.212036,-0.569702,0.687073,-0.925781,-0.162845,-1.30315
0.160156,-0.803711,0.596191,-6.375,-2.0625,-2,-0.399048,0.212341,-0.569519,0.686523,-0.928096,-0.163706,-1.30295
0.164551,-0.816406,0.605469,-6,-1.9375,-1.9375,-0.400024,0.212646,-0.569397,0.685974,-0.930301,-0.164547,-1.30289
0.168457,-0.822266,0.612305,-4.0625,-2.1875,-2,-0.400757,0.212646,-0.569336,0.685608,-0.931669,-0.165501,-1.30271
0.17041,-0.810547,0.606934,-3.3125,-2.4375,-2.3125,-0.401428,0.212463,-0.569336,0.685242,-0.932672,-0.166688,-1.30248
0.171875,-0.815918,0.600586,-4.125,-2.3125,-3.625,-0.402283,0.212402,-0.569458,0.684692,-0.934179,-0.168096,-1.30266
0.166504,-0.824219,0.612793,-6,-3.5625,-4,-0.403381,0.212341,-0.569458,0.684082,-0.936149,-0.169713,-1.30254
0.176758,-0.831543,0.625488,-4.625,-4.75,-3.875,-0.404419,0.211914,-0.569458,0.683594,-0.937547,-0.171716,-1.30206
0.176758,-0.830566,0.612793,-4.0625,-5.4375,-6.0625,-0.40564,0.211243,-0.569641,0.682922,-0.938963,-0.174498,-1.30176
0.178711,-0.824707,0.620117,-3.125,-6.4375,-7.5,-0.406738,0.210205,-0.570007,0.682312,-0.939695,-0.177772,-1.30157
0.155762,-0.826172,0.632813,-3.5625,-9.8125,-7.75,-0.407959,0.208984,-0.570068,0.681885,-0.940458,-0.181111,-1.30046
