timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533864477909424,-3,1,-1,5,1,-3,-7,-5
1533864477909424,0,-3,-3,9,2,-1,-1,0
1533864477909424,-2,-2,-48,-30,-6,0,-2,-2
1533864477909424,0,-6,31,0,-1,0,0,2
1533864477911421,-2,1,0,-2,-6,1,0,-1
1533864477911421,-1,0,2,8,3,-1,-4,-2
1533864477912418,-1,-7,27,9,4,1,2,3
1533864477912418,-2,2,-15,-6,-13,-5,-5,-3
1533864477921392,0,-1,-3,2,8,-2,0,-1
1533864477921392,-1,-1,5,-3,-8,-3,-1,-2
1533864477925381,-3,4,-3,-8,12,-6,-3,-3
1533864477925381,-2,-2,-11,-4,0,0,-1,-3
1533864477942366,-2,-1,11,2,-7,0,-1,-2
1533864477942366,-1,1,-13,-6,-4,2,1,-1
1533864477949321,0,0,6,8,1,1,-3,-1
1533864477949321,-3,-2,-2,3,-2,0,0,-1
1533864477957297,1,-3,-10,-4,2,-1,1,0
1533864477957297,-2,-4,-3,-5,-5,-1,-1,-1
1533864477980244,-1,-1,2,5,-4,-1,0,-2
1533864477980244,0,-1,-3,0,4,0,1,-2
1533864477982230,1,-2,-4,-5,-2,-1,0,-1
1533864477982230,0,0,1,-2,2,-1,6,8
1533864478018138,-2,-2,-1,-2,-4,-2,-6,-2
1533864478018138,-1,-1,-1,-3,-1,-2,-2,-9
1533864478018138,-4,-3,-1,1,0,-4,-4,-1
1533864478018138,-1,-1,-1,-5,-19,-1,-1,-1
1533864478019143,0,-1,-3,-8,0,-2,0,-1
1533864478019143,-3,0,-1,-4,-1,-2,-2,1
1533864478023311,-1,0,0,0,-4,2,-1,0
1533864478023311,0,-1,-2,0,13,0,-2,-1
1533864478030102,-2,-2,-1,0,-3,1,-1,-1
1533864478030102,0,-2,0,0,-6,-1,-2,0
1533864478039081,0,-2,0,-2,3,-1,-1,-2
1533864478039081,-3,-1,-2,0,-9,-4,-1,0
1533864478045065,0,0,1,1,3,-1,0,-1
1533864478045065,-1,-2,-2,-1,-3,-1,1,2
1533864478060216,-1,0,-1,4,-4,-1,0,-1
1533864478060216,-2,-2,-6,-13,1,-4,-2,-4
1533864478068160,-1,-3,-1,4,-4,-2,0,1
1533864478068160,1,-1,-1,-4,3,-1,-1,-1
1533864478090943,-1,-3,-4,-16,6,0,-3,-2
1533864478090943,-1,-1,-2,6,2,0,1,-3
1533864478091937,-3,-2,-1,3,1,-1,0,-1
1533864478091937,1,1,2,-5,-1,3,0,2
1533864478105908,2,1,1,9,-2,-3,1,3
1533864478105908,-1,-4,-2,-6,-9,-4,-3,0
1533864478106898,-4,-1,-2,2,2,-2,1,-9
1533864478106898,-1,1,-1,4,-3,0,1,0
1533864478127842,-1,-1,1,6,-1,0,-1,-1
1533864478127842,-2,0,2,-2,2,0,-1,1
1533864478128839,3,1,-1,-4,-1,0,-3,0
1533864478128839,-1,-3,-3,-8,6,-3,-1,-4
1533864478150873,-4,-2,-2,19,2,-2,0,-2
1533864478150873,-2,1,0,15,-3,-2,-2,-2
1533864478151777,0,0,-1,-33,5,2,1,-1
1533864478151777,0,-1,1,21,1,-3,-1,-1
1533864478165751,1,-1,-6,-49,-6,0,-1,0
1533864478165751,0,-4,-4,35,3,-1,0,-1
1533864478166737,0,-1,1,16,-4,-3,-2,1
1533864478166737,-1,0,0,-3,1,-2,-2,0
1533864478188681,0,0,1,10,4,-1,0,-3
1533864478188681,0,0,2,-14,-6,1,-2,-1
1533864478189675,0,1,-2,-13,-13,0,0,-1
1533864478189675,-1,-3,0,29,15,-3,-2,-4
1533864478210620,-6,-4,-2,-26,-18,-8,-1,-2
1533864478210620,-2,-5,-8,-25,-11,-5,-4,-4
1533864478211617,-2,0,-2,-3,-13,1,1,0
1533864478211617,-2,0,-2,-10,-10,0,0,2
1533864478225584,3,3,-33,17,6,1,-2,-1
1533864478225584,-3,-8,27,-8,3,-2,-1,1
1533864478226593,-1,-4,-6,3,-3,-2,-3,-1
1533864478226593,1,-2,1,5,2,2,1,-2
1533864478248518,0,-3,-3,5,-12,-6,-1,-1
1533864478248518,-1,3,-8,-22,4,-2,-3,-4
1533864478249535,1,2,2,14,6,-2,-2,-2
1533864478249535,-4,-3,1,-31,1,-1,2,1
1533864478270463,2,-3,-70,39,12,6,1,-2
1533864478270463,-8,9,-51,-28,-1,-7,-7,-4
1533864478271456,-8,-7,7,-23,-17,-7,-4,-2
1533864478271456,-6,-3,-6,-52,-48,-7,-6,-4
1533864478286470,-1,0,21,15,10,5,2,0
1533864478286470,4,6,-12,13,4,4,2,0
1533864478286470,-2,-4,-13,37,22,7,3,0
1533864478286470,-1,-2,-19,9,3,0,-1,0
1533864478308366,0,3,2,-17,-4,-4,-2,-1
1533864478308366,5,-3,9,2,4,0,5,21
1533864478309366,-7,3,10,1,8,0,-9,-26
1533864478309366,-2,-3,47,13,-9,-7,-4,-4
1533864478331304,-1,1,27,23,10,1,0,-3
1533864478331304,2,1,9,-38,-2,2,2,-1
1533864478331304,1,-4,-1,-8,-1,-3,1,9
1533864478331304,-1,1,-16,9,5,0,0,-1
1533864478346258,-1,-1,10,-25,-4,-3,-4,-4
1533864478346258,-1,-3,13,31,2,1,0,0
1533864478346258,-1,0,-17,1,2,0,2,3
1533864478346258,0,-1,-5,-13,1,-1,0,-1
1533864478368198,-2,-6,-21,20,2,2,-2,1
1533864478368198,-4,0,2,-7,-20,-1,-1,-5
1533864478369201,2,0,7,-6,1,-1,-2,3
1533864478369201,0,0,-1,-19,10,0,-1,0
1533864478391140,0,-3,4,-20,-7,-4,0,3
1533864478391140,-1,-2,1,22,-2,1,0,-4
1533864478392137,1,-2,-5,-9,2,-4,-2,-3
1533864478392137,1,-1,-12,6,1,1,1,3
1533864478406096,-1,0,7,-18,-8,-1,-2,-1
1533864478406096,-2,-4,-4,2,0,-2,-1,-7
1533864478406096,2,1,10,5,-6,-1,1,1
1533864478406096,0,-1,-3,15,10,-2,-3,-2
1533864478428037,-3,2,16,2,0,-5,-3,-3
1533864478428037,4,8,35,82,46,14,6,5
1533864478429034,-9,-13,-34,-59,-39,-6,-4,1
1533864478429034,2,-8,-21,-81,-17,-5,-2,-4
1533864478450977,1,1,-5,19,3,2,-4,-4
1533864478450977,1,-2,-5,-51,-7,-2,1,1
1533864478451974,0,4,13,74,34,7,3,-1
1533864478451974,-5,-3,3,76,-5,-5,-2,-1
1533864478465937,-1,-4,1,-60,-12,-2,0,0
1533864478465937,0,-1,1,-15,-6,0,-2,-1
1533864478466954,1,4,6,9,17,3,-3,1
1533864478466954,-4,-3,-4,-3,-13,-3,-4,-4
1533864478488899,-1,0,12,22,2,-1,-1,0
1533864478488899,-2,-2,-6,10,6,1,2,0
1533864478488899,-1,-4,1,-20,-15,-4,-3,-3
1533864478488899,2,4,9,30,15,4,3,4
1533864478511028,-3,-1,5,-11,5,-3,0,-2
1533864478511028,-3,-11,-30,-26,-20,-10,-8,-7
1533864478511816,-1,1,7,8,-11,-6,-4,-1
1533864478511816,0,3,9,-33,17,1,-2,-1
1533864478524779,-1,0,3,0,-4,7,3,2
1533864478524779,-3,-3,-1,-2,-11,-10,-3,-4
1533864478532758,5,2,3,10,10,5,5,1
1533864478532758,-5,1,0,11,-24,-2,-1,0
1533864478548749,-1,-1,-1,-4,-3,-3,-4,-1
1533864478548749,-1,-3,-3,-1,4,1,-1,-2
1533864478548749,0,1,-1,0,-1,-2,0,0
1533864478548749,-2,3,1,2,4,0,-1,-3
1533864478570660,-3,-4,-6,1,0,-3,-3,-1
1533864478570660,-2,0,4,4,-2,-1,-4,-2
1533864478571653,-2,-3,-4,-8,-2,-3,-1,-1
1533864478571653,2,-1,-7,-4,4,0,0,-1
1533864478585620,-1,0,0,3,-4,-4,-2,0
