timestamp,x,y,z
1533863328590884,-0.75,0.25,0
1533863328605856,0.75,-0.0625,0.5625
1533863328628796,2.5,-0.5,0.875
1533863328658706,3,-0.625,0
1533863328666681,-1.125,1.3125,0.9375
1533863328688623,-4.125,2.25,0.4375
1533863328711561,-6.375,2.5,1.75
1533863328766416,-2.375,1.0625,1.375
1533863328768411,1.5625,0.625,1.0625
1533863328773396,-3.125,2.4375,1.4375
1533863328787360,-7.4375,2.875,1.8125
1533863328810302,-1,1.375,0.9375
1533863328830244,2.3125,0.875,0.375
1533863328846202,0.25,0.9375,0.625
1533863328892079,-5.5625,2.8125,2.25
1533863328893076,-4.75,1.3125,1.1875
1533863328907039,9,-1.0625,0.5
1533863328929977,10.625,0.125,-1.4375
1533863328951934,-2.375,1.25,-1.625
1533863328973864,-8.8125,0.9375,-1.25
1533863328989840,-2.3125,0.8125,-0.9375
1533863329012760,4.625,0.1875,0.0625
1533863329033700,3.8125,0.625,-0.25
1533863329056642,-0.1875,0.125,-0.75
1533863329072596,-1.6875,-0.5,-1.125
1533863329093543,0.4375,0.125,-0.9375
1533863329110495,-1.0625,0.4375,-0.5625
1533863329132448,-2.6875,-0.1875,-0.875
1533863329161362,1.375,-0.8125,-0.4375
1533863329170334,2.5625,-0.375,-0.125
1533863329192279,0.5625,-0.3125,-0.1875
1533863329213219,-3.3125,0.25,0.125
1533863329230184,-2,0.375,0.0625
1533863329253113,0.625,0.0625,0.625
1533863329267103,-0.1875,-0.3125,0.375
1533863329290020,-0.9375,-0.4375,0.125
1533863329312965,-1.0625,0,0
1533863329326917,-0.125,0.375,0.5
1533863329349858,-0.8125,0.0625,0.375
1533863329372793,-2.6875,-0.3125,0.75
1533863329386756,0.9375,-0.75,1.3125
1533863329409697,2.1875,-0.6875,0.5625
1533863329432632,-0.875,-0.5,0.875
1533863329446596,-1,-1.125,1.375
1533863329470531,4.1875,-1.25,1.5625
1533863329492473,4.75,-0.9375,1.5
1533863329513417,-0.3125,-1.375,0.25
1533863329530371,-1.4375,-1.375,-0.0625
1533863329552313,1.5,-1.375,0.125
1533863329573257,2.4375,-0.75,0.1875
1533863329590211,0.375,-0.5,0.75
1533863329613150,-2.625,-0.0625,1
1533863329635106,0.25,0.125,0.75
1533863329650051,3.375,-0.125,0.75
1533863329672992,2.3125,-0.3125,0.0625
1533863329693975,-0.25,-0.375,-0.3125
1533863329709892,-0.1875,-0.625,-0.625
1533863329732830,3.1875,-1.75,0
1533863329754993,4.6875,-1.8125,-0.5625
1533863329769897,3.6875,-2.0625,-0.5
1533863329800650,4.25,-2.4375,-0.25
1533863329813614,8.0625,-3.75,0.3125
1533863329837556,12.5625,-5.75,0.125
1533863329852509,12.8125,-6.8125,-0.8125
1533863329875448,8.25,-6.4375,-0.875
1533863329897390,-7.875,-4.4375,-0.3125
1533863329918337,-17.625,-0.875,0.8125
