timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533863710581384,-1,1,-2,18,2,-1,-2,0
1533863710581384,-2,-3,-5,-18,-3,-1,1,-2
1533863710582381,-4,-2,-3,17,2,-3,-1,-1
1533863710582381,-2,-3,-3,-7,-10,-1,-2,-1
1533863710586372,-2,-1,3,-3,-6,-2,-2,0
1533863710586372,0,3,0,8,-2,-2,-2,-1
1533863710587369,1,2,1,-10,4,0,1,1
1533863710587369,-3,-2,-1,4,1,-2,1,-1
1533863710592354,-2,-1,-5,7,13,-2,-2,-2
1533863710592354,-3,-2,-8,-10,-8,3,-1,-1
1533863710601330,1,-3,19,-3,2,3,2,1
1533863710601330,-1,1,5,4,3,1,-1,-1
1533863710607341,-1,-3,6,-8,-4,1,1,0
1533863710607341,0,-1,-2,10,2,-3,-4,-1
1533863710623272,0,-1,-7,-4,-3,-2,-2,-3
1533863710623272,1,2,-1,9,-2,-2,-5,-3
1533863710631252,0,5,-7,-18,-5,-2,0,0
1533863710631252,-3,-18,7,1,4,-1,3,2
1533863710661174,-3,-3,-10,-2,-5,-1,-2,-2
1533863710661174,0,1,40,5,3,1,1,1
1533863710663165,0,2,-3,-2,-9,-6,-1,-3
1533863710663165,3,6,0,2,2,0,-2,-1
1533863710668152,-1,-1,4,-8,3,-2,-3,-2
1533863710668152,-2,-3,-15,-2,5,-2,0,-3
1533863710710040,-3,-1,-5,-5,-12,-3,-2,-2
1533863710710040,-1,0,-28,-2,5,0,-2,-1
1533863710713032,-1,-1,4,3,2,-1,-1,1
1533863710713032,-2,0,0,3,1,0,-1,-1
1533863710714039,0,0,3,9,7,-1,0,0
1533863710714039,-2,-1,-2,-12,-11,-1,1,-2
1533863710715026,-4,0,-5,-6,-5,-5,-3,-2
1533863710715026,1,0,-3,-18,-7,0,0,0
1533863710720234,-1,-3,-13,-4,0,-1,-1,0
1533863710720234,0,1,10,5,-1,-1,0,0
1533863710728989,0,-2,-1,1,2,0,-1,-1
1533863710728989,0,-1,5,11,1,-1,-1,-1
1533863710742955,0,9,-3,-2,1,-3,-4,-3
1533863710742955,-3,-6,0,-12,0,-2,0,-2
1533863710749933,-1,-1,0,-1,-11,-1,2,0
1533863710749933,-4,-3,-45,-2,-3,-3,-3,-2
1533863710756914,-2,-2,22,1,-1,0,0,-1
1533863710756914,0,2,3,9,2,-2,-3,-1
1533863710779854,-1,1,-3,-1,0,0,-2,-2
1533863710779854,-1,0,-3,2,1,0,-1,-3
1533863710780851,0,-2,-3,-1,3,1,-2,-2
1533863710780851,0,-3,3,3,-5,-3,-3,-2
1533863710794816,-2,-3,-2,1,-9,-2,-1,0
1533863710794816,1,1,8,-2,0,0,0,-1
1533863710802796,-2,-4,-2,-1,1,-2,1,-1
1533863710802796,-2,-1,6,-6,-1,-3,-2,0
1533863710825749,0,-1,-2,-4,3,-1,-2,-2
1533863710825749,-1,0,3,1,8,2,-2,-2
1533863710826762,-1,-3,-5,-21,-22,-6,-1,0
1533863710826762,-1,-1,-6,6,2,6,2,-1
1533863710840694,0,-1,-21,-2,0,-2,-1,-3
1533863710840694,0,9,11,-2,-3,-3,-1,-2
1533863710840694,-1,-6,-1,6,7,0,0,-1
1533863710840694,-1,-1,-1,3,-3,-1,-1,-1
1533863710863635,0,-2,0,-4,0,-1,-1,-1
1533863710863635,0,0,4,-7,-5,-2,-3,-1
1533863710864627,-1,-5,-2,0,0,-2,-1,0
1533863710864627,-1,-2,-2,0,-3,3,-1,-2
1533863710877631,1,1,6,4,6,-2,2,0
1533863710877631,-2,-4,1,0,1,-2,0,1
1533863710878590,-3,0,-4,5,-12,-1,-2,-1
1533863710878590,-2,-1,-1,-7,-1,-4,-4,-1
1533863710900729,0,-1,-1,-3,7,-1,-2,-1
1533863710900729,0,-6,23,2,-2,-4,-2,0
1533863710900729,2,-1,0,-2,14,5,2,-1
1533863710900729,0,-1,1,-1,-3,0,-1,0
1533863710923503,-1,-1,3,6,1,0,0,0
1533863710923503,-2,-3,-7,0,1,-1,-1,-3
1533863710924468,-1,0,-1,-2,-1,-2,-2,0
1533863710924468,1,-2,5,-3,-1,0,1,-1
1533863710937432,-1,0,2,-4,-5,1,1,-1
1533863710937432,0,-2,-2,12,8,1,0,0
1533863710938430,0,-3,1,-28,-10,-3,-3,-1
1533863710938430,1,8,-43,6,-2,-4,-4,-1
1533863710960410,-2,-13,48,8,0,3,1,2
1533863710960410,-3,-2,-2,-2,-4,-1,0,-1
1533863710961370,-1,-1,-1,7,4,-3,-1,-1
1533863710961370,-2,-3,-7,-7,-4,-1,0,0
1533863710983309,0,3,-21,-6,-1,-3,-4,-4
1533863710983309,1,-1,1,5,2,4,-1,-1
1533863710984307,1,7,0,5,7,-1,0,0
1533863710984307,-3,-8,8,-9,-11,-3,2,0
1533863711006278,-3,-2,-15,-2,2,1,-1,0
1533863711006278,-3,-4,1,-2,-4,-3,0,0
1533863711007250,-2,1,-10,2,1,-1,-2,-3
