timestamp,x,y,z,w
1533863710381920,-0.416077,0.204895,-0.572693,0.675964
1533863710404856,-0.416016,0.204895,-0.572693,0.675964
1533863710421812,-0.416016,0.204956,-0.572693,0.675964
1533863710444785,-0.416016,0.204895,-0.572693,0.675964
1533863710464739,-0.416016,0.204895,-0.572754,0.675964
1533863710479656,-0.416016,0.204895,-0.572693,0.675964
1533863710503611,-0.415955,0.204651,-0.572754,0.676025
1533863710524560,-0.415771,0.204407,-0.572815,0.676208
1533863710580389,-0.415771,0.204407,-0.572754,0.676208
1533863710580389,-0.415771,0.204407,-0.572754,0.676208
1533863710589363,-0.415771,0.204407,-0.572815,0.676208
1533863710603326,-0.415833,0.204407,-0.572754,0.676208
1533863710623272,-0.415955,0.20459,-0.572815,0.676086
1533863710662168,-0.416077,0.204895,-0.572693,0.675964
1533863710707048,-0.416138,0.205139,-0.572693,0.675903
1533863710708046,-0.416138,0.205139,-0.572632,0.675903
1533863710709042,-0.416138,0.205139,-0.572632,0.675903
1533863710728198,-0.416016,0.204956,-0.572754,0.675964
1533863710743949,-0.416016,0.204956,-0.572754,0.675964
1533863710764893,-0.416016,0.204956,-0.572754,0.675964
1533863710786835,-0.415894,0.204834,-0.572937,0.675903
1533863710803789,-0.415833,0.204834,-0.572937,0.675903
1533863710827725,-0.415894,0.204773,-0.573059,0.675781
1533863710846688,-0.415894,0.204773,-0.573059,0.675781
1533863710864627,-0.415894,0.204773,-0.573059,0.675781
1533863710884601,-0.415771,0.204651,-0.573303,0.67572
1533863710914494,-0.415588,0.204468,-0.573486,0.67572
1533863710924468,-0.415588,0.204468,-0.573486,0.67572
1533863710944414,-0.415527,0.204468,-0.573486,0.67572
1533863710967360,-0.415588,0.204468,-0.573486,0.67572
1533863710985304,-0.415283,0.204224,-0.57373,0.675781
1533863711008244,-0.414978,0.204041,-0.573914,0.675842
1533863711027260,-0.414734,0.203735,-0.574097,0.675964
1533863711045144,-0.414734,0.203735,-0.574097,0.675964
1533863711064094,-0.414734,0.203735,-0.574097,0.675964
1533863711087032,-0.414673,0.203735,-0.574097,0.675964
1533863711104991,-0.414673,0.203735,-0.574097,0.675964
1533863711124930,-0.414673,0.203674,-0.574097,0.675964
1533863711146871,-0.414673,0.203674,-0.574097,0.675964
1533863711164824,-0.414734,0.203674,-0.574097,0.675964
1533863711184770,-0.414734,0.203674,-0.574097,0.675964
1533863711209704,-0.414734,0.203735,-0.574097,0.675964
1533863711224667,-0.41449,0.204041,-0.574097,0.676025
1533863711244610,-0.414124,0.204102,-0.574219,0.676147
1533863711267552,-0.413879,0.204102,-0.574341,0.676147
1533863711285508,-0.413818,0.204041,-0.574402,0.676147
1533863711304454,-0.413574,0.204041,-0.57428,0.676453
1533863711327392,-0.413391,0.203918,-0.574097,0.676697
1533863711345344,-0.413391,0.203857,-0.574036,0.676819
1533863711366285,-0.413574,0.203979,-0.573792,0.67688
1533863711387324,-0.414001,0.204163,-0.573425,0.67688
1533863711405272,-0.414429,0.204224,-0.573059,0.67688
1533863711426217,-0.414673,0.204163,-0.572876,0.676941
1533863711454153,-0.414856,0.204407,-0.572632,0.676941
1533863711465113,-0.415222,0.204651,-0.572388,0.676819
1533863711486057,-0.415649,0.205017,-0.572205,0.676636
1533863711507000,-0.415649,0.205322,-0.572083,0.676575
1533863711524953,-0.415771,0.205872,-0.57196,0.676453
1533863711547893,-0.415771,0.206299,-0.571838,0.676453
1533863711567056,-0.415771,0.206543,-0.571716,0.676453
1533863711584803,-0.415588,0.206787,-0.571655,0.676575
1533863711605736,-0.415405,0.20697,-0.571655,0.676636
1533863711626887,-0.415344,0.20697,-0.571655,0.676636
1533863711644632,-0.415344,0.20697,-0.571655,0.676636
1533863711665576,-0.415344,0.20697,-0.571655,0.676636
