timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533260488512714,-3,-2,9,-2,-4,-1,-1,-2
1533260488512714,4,1,-7,-1,-2,-3,-2,0
1533260488512714,0,-2,-1,0,-2,0,-2,-4
1533260488512714,4,-9,-5,0,-2,2,-1,-1
1533260488516733,1,-13,0,-5,-1,-3,-3,-1
1533260488516733,2,-8,-8,-5,0,1,1,-1
1533260488519732,0,1,10,-6,-4,0,-2,-1
1533260488519732,-3,-2,3,-4,-2,-3,-2,-1
1533260488531780,1,15,-7,-2,1,1,1,-1
1533260488531780,-4,3,34,21,-1,1,-2,0
1533260488533730,-5,-3,-57,-6,-1,-3,-2,0
1533260488533730,0,3,6,8,0,-3,-2,0
1533260488554823,-1,5,5,-7,-2,1,-1,0
1533260488554823,-7,15,-10,-1,0,-3,-1,-4
1533260488556804,1,-4,8,14,-3,-3,-2,0
1533260488556804,1,4,-5,-4,-1,0,1,1
1533260488561802,-1,-7,2,1,-2,-2,-1,-2
1533260488561802,0,2,-11,-27,-6,-2,-3,0
1533260488586825,0,-4,31,8,6,0,0,-1
1533260488586825,2,0,-5,-23,-8,1,-2,-2
1533260488588812,1,4,9,-10,-1,0,-1,-1
1533260488588812,0,-7,-24,-11,0,0,0,0
1533260488604873,-4,-5,-14,0,0,0,-2,-1
1533260488604873,-2,-2,18,10,2,0,-2,-1
1533260488639848,-5,11,-9,-1,3,1,-2,-1
1533260488639848,-4,-1,10,-3,-2,-1,7,-4
1533260488643861,5,0,-36,14,0,-2,-7,-2
1533260488643861,-1,-3,6,7,0,2,2,-2
1533260488644861,-2,-8,15,-2,-3,-1,-1,-4
1533260488644861,3,0,-19,-5,0,-2,-2,0
1533260488645862,-1,-3,21,-18,-3,-2,1,0
1533260488645862,-4,0,8,-8,1,-1,-3,0
1533260488649865,2,-3,-12,1,-1,-3,-3,1
1533260488649865,-1,-14,28,10,1,0,-1,0
1533260488664884,-3,-2,-44,-7,-2,-1,1,-1
1533260488664884,-1,-4,-32,6,-4,-6,-5,-3
1533260488672922,-5,16,12,16,0,-3,-1,-4
1533260488672922,-4,3,-2,6,-1,-2,-2,-2
1533260488681891,1,0,24,-8,-2,-1,1,-1
1533260488681891,1,-2,6,-5,-3,-3,-2,-1
1533260488695905,2,-1,1,0,-3,-2,1,-1
1533260488695905,-2,6,-10,-21,-5,-2,-3,-1
1533260488710915,-5,-1,-1,3,7,1,-1,-1
1533260488710915,1,2,37,-5,-1,-1,-1,1
1533260488711915,0,-8,-46,-10,-1,-1,-4,-3
1533260488711915,-2,-1,-15,18,-2,-1,1,0
1533260488733923,1,-3,21,12,0,-1,-9,0
1533260488733923,-4,-13,-5,-5,-3,-4,0,-2
1533260488733923,-2,1,16,6,1,1,3,0
1533260488733923,0,-2,6,-10,1,-1,0,0
1533260488757944,-4,-5,-11,-8,-5,-2,2,-3
1533260488757944,2,2,11,5,0,0,-1,0
1533260488758932,-5,-3,-9,-8,-2,-2,-2,-1
