timestamp,x,y,z
1533260488335558,-3.375,6.9375,-0.5625
1533260488357576,-9.625,6,0.25
1533260488381577,-13.4375,2.75,0.4375
1533260488398589,-9.0625,3.25,0.125
1533260488417603,-6.25,0.75,-0.6875
1533260488448625,-5.625,-2.0625,-0.625
1533260488457631,-2,-3.75,-0.5625
1533260488510716,3.125,-4.0625,-0.125
1533260488511714,4,-4.0625,0.0625
1533260488520721,3.375,-3.8125,-0.0625
1533260488537773,2.625,-4,-0.1875
1533260488560807,1.8125,-3.6875,-0.25
1533260488587826,0.0625,-1.3125,-0.3125
1533260488636860,-2.4375,0.6875,-0.4375
1533260488637860,-8.9375,-0.375,0.375
1533260488638848,-5.1875,-1.1875,0.1875
1533260488657870,1.5625,-1.9375,0.75
1533260488680929,4.4375,-2.125,0.1875
1533260488696904,2.9375,-1.5,0.3125
1533260488717919,-0.75,0.25,0.6875
1533260488756945,-3.625,0.5,0.3125
1533260488759948,-3.125,0.25,-0.1875
1533260488778041,-0.25,-0.75,0
1533260488800015,0.625,-1.875,-0.125
1533260488817019,-0.125,-2.25,0.0625
1533260488838048,-1.5625,-1.5625,-0.5
1533260488868069,-2.4375,-0.25,-0.6875
1533260488877076,-4.1875,0.125,-0.4375
1533260488898127,-4.1875,0.8125,1
1533260488920197,-2.625,1.0625,0.5625
1533260488937220,0.1875,0.125,-0.4375
1533260488958281,0.0625,-0.125,-0.6875
1533260488980298,-2.5,0.375,0.125
1533260488997310,0.5625,-0.5,-0.1875
1533260489034335,3.8125,-1.8125,-0.375
1533260489040327,6.6875,-4.1875,-0.3125
1533260489058355,5,-5.1875,-0.125
1533260489085403,3.375,-6,0.4375
1533260489100382,2.0625,-6,0.8125
1533260489118379,1,-6.4375,1.4375
1533260489145413,3.5,-7.1875,1.25
1533260489160424,7.4375,-7,1.5
1533260489178499,6.5625,-6.4375,1.1875
1533260489197545,6.875,-6,2.875
1533260489227563,-4.125,-10.0625,2.875
1533260489238570,-22.5625,-18.9375,1.25
1533260489265590,-42.3125,-26.0625,-0.375
1533260489280649,-69.1875,-25.9375,0.125
1533260489311745,-85.3125,-24.9375,1.3125
1533260489317750,-83.25,-9.6875,11.6875
1533260489347730,-53.6875,7.9375,10.8125
1533260489357740,-4.3125,28.9375,15.625
1533260489385776,36.5625,54.3125,40.3125
1533260489400817,50.4375,72.5625,57.875
1533260489425821,30.5,87.375,74.8125
1533260489438846,7.5625,99.6875,90.1875
1533260489467852,3.6875,110.938,103
1533260489477857,2.4375,109.938,115.625
1533260489504877,-5.9375,117.063,133.5
1533260489519887,-1.0625,129.125,153.125
1533260489545907,25.125,126.75,162.125
1533260489558915,34.375,114.563,162.438
1533260489587949,19.6875,114.438,167.813
1533260489605949,27.5625,118.063,166.125
1533260489626973,20,113.813,173.25
1533260489642989,-8.875,105.313,175
1533260489657000,8.25,121.313,186.188
1533260489680002,34.3125,123.188,179.375
1533260489710023,23.25,97.6875,143.188
1533260489723126,-55.9375,87.625,110.5
1533260489740101,-61.875,77.9375,121.438
1533260489762120,-25.1875,65.1875,102.25
1533260489785130,-12.125,53.625,73
1533260489800146,9.1875,44.125,48.25
1533260489823147,37.5,32.5,17.6875
1533260489837166,34.125,13.9375,-25.5
1533260489865176,22.3125,-7.75,-56.1875
1533260489880186,28.375,-27.375,-76
1533260489921217,36.125,-46,-90
1533260489925235,44.625,-60.6875,-97.3125
1533260489942283,50.0625,-76.6875,-110.563
1533260489963370,38.5625,-94.625,-120.625
1533260489980332,27.625,-110.313,-125.938
1533260490002385,34.1875,-121.063,-129.313
1533260490025394,39.5625,-129.188,-135.063
1533260490040466,29.1875,-143.063,-151.313
1533260490070459,0.5,-164.625,-163.813
1533260490083520,-35.375,-187.25,-168.188
1533260490107527,-61.4375,-169.375,-147.875
1533260490122551,-62.4375,-161.438,-148.813
1533260490144561,-71.5,-149.75,-162.938
1533260490159625,-28.25,-103.063,-139.25
1533260490182739,48.0625,-89.9375,-108.25
1533260490203737,35.5625,-87.125,-82.5625
1533260490227752,-28.3125,-53.875,-58.875
1533260490242763,-56.375,-31.3125,-42.875
1533260490266778,-28.0625,-26.25,-26.1875
1533260490279786,24,-17.625,-15.4375
1533260490302835,49.375,-12.1875,-8.4375
1533260490323900,59,-10.25,-3.8125
1533260490347882,42.3125,-10.875,1.125
1533260490362892,12.25,-9.8125,4.75
1533260490383954,-3.9375,-10,2.875
1533260490398966,-6.9375,-13.625,1.375
1533260490436989,-1.1875,-14.5625,-2.5
1533260490444995,-3.5625,-18.875,-7.5625
1533260490461008,-16.3125,-19.1875,-9.4375
1533260490482015,-14.1875,-16.3125,-8.8125
1533260490505039,1.0625,-12.9375,-6.6875
1533260490519039,6.0625,-8.25,-6.4375
1533260490542062,-0.6875,-5.8125,-4.9375
1533260490565128,-15.3125,-6.3125,-4.125
1533260490579116,-22.1875,-11.9375,-8.875
1533260490617143,-17.625,-13.5,-13.375
1533260490625164,-10.125,-14.5,-15.875
1533260490646224,-11.6875,-20.8125,-15.3125
1533260490662229,-18.4375,-27.9375,-16.1875
1533260490692237,-16.375,-27.8125,-17.25
1533260490706261,-1.4375,-24,-15.625
1533260490722274,15.5625,-18.125,-14.9375
1533260490752280,18.4375,-7.625,-10.5
1533260490766302,15.625,13.25,-4.125
1533260490782302,-2.3125,8.875,10.1875
1533260490812322,-4.625,-0.5625,6.625
1533260490826333,-4.1875,4.25,0.6875
1533260490842343,17.5625,5.625,-0.25
1533260490865362,20.4375,3.625,2.125
1533260490886375,1.4375,1.9375,0.5
1533260490902386,-8.5,0.4375,-1.125
1533260490925403,-6.125,1.8125,0.375
1533260490946418,0.5,3.125,0.4375
1533260490968449,2.4375,2.75,-0.5625
1533260490984460,1.9375,0.4375,0.625
1533260491005474,4.5,0.5,1.6875
1533260491022488,3.25,0.8125,1.5625
1533260491044518,-1.0625,0,0.4375
1533260491065577,-1.5625,-0.8125,-0.0625
1533260491082575,4,-1,0.3125
1533260491104607,11.25,-2.8125,0.9375
1533260491125620,11.5,-4.625,3.9375
1533260491142634,11.8125,-1.375,2.8125
1533260491164632,3.1875,1.5625,0.5625
1533260491185664,-12.3125,2.25,0.875
1533260491202677,-11.75,0.75,0.5
1533260491224681,1.6875,0.3125,0.4375
1533260491245705,6.375,0.875,0.4375
1533260491262716,-0.0625,1.5,0.0625
1533260491284722,-4.8125,3.0625,0.0625
