timestamp,x,y,z
655960512078,-0.8125,-0.25,0
655960534204,-0.3125,-0.5,0.0625
655960548495,0.5625,-0.9375,0.25
655960571656,-0.3125,-1.1875,0.1875
655960594199,0,-0.9375,0.1875
655960608477,0.9375,-1.6875,0.5
655960631653,0.8125,-1.5,0.625
655960654136,0.625,-3.125,0.375
655960668539,1.375,-4.5625,0.25
655960697762,3.25,-4.0625,0.125
655960714252,2.1875,-1.0625,-0.25
655960736749,0.4375,1.75,-0.25
655960757814,-0.125,1.9375,-0.3125
655960774198,-0.75,2.125,0.0625
655960796726,-1.8125,2.875,-0.3125
655960817832,-2.6875,3.9375,-0.25
655960834213,-2.125,5.0625,0.25
655960864177,-2.5,2.9375,-0.125
655960879181,-0.75,1.75,-0.375
655960894212,0.625,0.75,-0.375
655960916736,1.1875,0.5,0
655960939154,0.4375,-1.4375,-0.1875
655960954196,-0.4375,0.25,-1.75
655960976742,-0.25,1.1875,-1.3125
655960999238,-0.8125,0.25,-0.625
655961021787,-1.875,-0.5625,-1.0625
655961036738,-2.6875,-1.0625,-2.0625
655961059203,1.5625,0.8125,-1.6875
655961073479,4.625,-1.25,1.25
655961096721,-3.3125,-1.75,-2.1875
655961119232,0.8125,-2.125,0.0625
655961133492,10.875,-2.125,-0.125
655961156683,4.125,1.5625,2.25
655961179221,-2.3125,-2.5625,-0.4375
655961193550,-0.3125,-2,0.4375
655961216652,1.5,-1.0625,0
655961239327,6.0625,-1.1875,0.8125
655961253572,4.125,-0.3125,-0.0625
655961282722,0.1875,1.75,-0.6875
655961299156,1,0.9375,-0.6875
655961313549,2.125,0.875,0.375
655961336686,-0.125,1.125,0.1875
655961359177,0.1875,1.875,0.3125
655961380339,0.6875,1.3125,0.4375
655961396712,1.125,0.9375,0.875
655961419187,0.25,0.625,0.8125
655961440341,0.9375,-0.1875,0.5
655961456738,1.75,1.625,0.1875
655961479180,1.8125,1.375,0.25
655961500233,-0.125,2.9375,0.4375
655961516773,-2.6875,0.6875,1.5
655961539173,-1.6875,3,1.5
655961560253,-1.9375,1.3125,1.875
655961576708,-0.4375,1.3125,0.6875
655961599221,-1.0625,3.9375,0.25
655961621674,-2.125,2.125,0
655961636811,0.6875,-0.5625,0
655961659211,0.9375,-2.375,0
655961680332,2.125,-2.6875,-0.6875
655961696737,2.25,-1.625,-1.1875
655961719249,2.8125,-2,0.1875
655961740216,4.625,-4.25,1.875
655961756727,3.5625,-6.625,-0.125
655961779250,5.3125,-7.25,-1.0625
655961801724,7.25,-6.5,-1.125
655961816732,0.625,2.125,-0.8125
655961839687,-1.4375,5.25,7.0625
655961861748,-1.9375,7.0625,1.75
655961876041,-6.875,4.875,2.375
655961899267,-5.9375,3.375,1.5
655961922164,-4.4375,4.9375,0.3125
655961936766,-3.375,2.8125,-0.9375
655961959275,1.0625,0.8125,-1.75
655961981735,2.625,-0.625,-1.6875
655961996007,4.6875,-3.0625,-0.875
655962019270,4.8125,-3.125,-0.5625
655962041797,2.4375,-3,-1.1875
655962056083,2.625,-4.3125,0.4375
655962079228,1.75,-5.4375,0.5625
655962101699,2,-5.75,-1
655962116096,6.875,-6.375,-1
655962139205,7.4375,-4.8125,-0.5
655962169258,3.75,-1.4375,-0.75
655962176065,1.75,0.25,-0.375
655962199287,-0.375,0.5,0.375
655962221720,-2.4375,-0.625,1.625
655962236021,-1.8125,-1.0625,0.8125
655962259272,-0.5625,-0.6875,0.5625
655962281807,1.25,0.8125,0.3125
655962302822,2,-0.375,0.5625
655962319318,0.9375,-1,0.125
655962341730,1.75,-1.4375,0.125
655962362808,2,-0.0625,-0.4375
655962379262,-0.125,1.1875,-0.25
655962401724,-0.1875,-0.375,0.125
655962422783,0.5,-0.5,-0.4375
655962439213,1,0.3125,-0.375
655962461752,1,0,-0.625
655962482885,-0.125,-0.5625,-0.5625
655962499275,-0.5,-0.875,-0.4375
655962521745,0.5,-1.1875,-0.5
655962542810,0.6875,-0.0625,-0.0625
655962559328,-1.125,-0.25,0.625
655962581753,-1.125,-0.5,-0.4375
655962602782,0.125,-0.375,0.125
655962619268,0.4375,0.125,0.5625
655962641774,1.375,-0.0625,-0.0625
