timestamp,x,y,z,w
655959478007,0.353882,-0.280029,0.770813,-0.449707
655959478778,0.353516,-0.280273,0.770935,-0.449524
655959486275,0.353027,-0.280579,0.771179,-0.44928
655959491452,0.352661,-0.281006,0.771301,-0.449158
655959504510,0.352234,-0.281494,0.771423,-0.449036
655959527027,0.352234,-0.281799,0.771362,-0.448914
655959550863,0.352234,-0.281799,0.771362,-0.448914
655959565921,0.352478,-0.281799,0.77124,-0.448914
655959587312,0.352783,-0.281799,0.771118,-0.448853
655959610880,0.353394,-0.281799,0.770813,-0.448914
655959642181,0.35376,-0.281494,0.770691,-0.449036
655959647186,0.353821,-0.281067,0.770691,-0.44928
655959670896,0.353821,-0.280701,0.770691,-0.449463
655959717145,0.354126,-0.280701,0.770508,-0.449524
655959717951,0.354736,-0.280457,0.770264,-0.449646
655959730156,0.355103,-0.279968,0.770142,-0.44989
655959752651,0.355774,-0.279602,0.76947,-0.450745
655959767685,0.358215,-0.277466,0.769104,-0.450684
655959791614,0.354004,-0.280457,0.768677,-0.452942
655959805975,0.353455,-0.278687,0.769226,-0.453491
655959835291,0.354004,-0.275513,0.770142,-0.45343
655959851631,0.356018,-0.272827,0.770569,-0.452759
655959866064,0.356262,-0.273621,0.770386,-0.452454
655959889107,0.356018,-0.27417,0.770447,-0.452271
655959911661,0.356384,-0.274719,0.770203,-0.451965
655959932766,0.356384,-0.27478,0.770203,-0.451965
655959949178,0.356384,-0.27478,0.770142,-0.452026
655959971659,0.356323,-0.274719,0.770081,-0.452209
655959992710,0.356079,-0.274719,0.770203,-0.452271
655960009145,0.355896,-0.274414,0.770386,-0.452271
655960031602,0.355408,-0.274414,0.77063,-0.452209
655960052737,0.355652,-0.27417,0.770569,-0.452271
655960069187,0.355957,-0.274353,0.770508,-0.452026
655960091607,0.356506,-0.274841,0.770264,-0.45166
655960112651,0.356812,-0.275635,0.770142,-0.451233
655960129122,0.356506,-0.276428,0.770142,-0.450867
655960151673,0.355896,-0.276489,0.770508,-0.450684
655960172739,0.35553,-0.276489,0.770874,-0.4505
655960189104,0.355286,-0.276306,0.771118,-0.450317
655960211651,0.354858,-0.276123,0.771423,-0.450256
655960232933,0.354736,-0.27594,0.771545,-0.450195
655960250312,0.354736,-0.27594,0.771545,-0.450195
655960271632,0.354431,-0.276001,0.771667,-0.450195
655960292741,0.354065,-0.276062,0.771851,-0.450134
655960309112,0.35376,-0.276184,0.771973,-0.450073
655960331718,0.35376,-0.276245,0.771973,-0.450134
655960354170,0.353821,-0.276489,0.771851,-0.450073
655960375752,0.353821,-0.276489,0.771851,-0.450073
655960391677,0.353638,-0.276672,0.771912,-0.450012
655960414151,0.353516,-0.276855,0.771912,-0.450012
655960429169,0.353577,-0.277161,0.771851,-0.449951
655960451632,0.353455,-0.277405,0.77179,-0.44989
655960474150,0.353455,-0.277466,0.77179,-0.44989
655960488507,0.353455,-0.277466,0.77179,-0.449951
655960512078,0.353394,-0.277527,0.77179,-0.449951
655960534204,0.353394,-0.277527,0.77179,-0.449951
655960548495,0.353394,-0.277527,0.771729,-0.449951
655960571656,0.353577,-0.277588,0.771606,-0.450012
655960594199,0.353577,-0.277588,0.771606,-0.450012
655960608477,0.35376,-0.277405,0.771484,-0.450256
655960631653,0.353821,-0.277283,0.771362,-0.4505
655960654136,0.354187,-0.277161,0.771057,-0.450745
655960668539,0.354614,-0.276672,0.770813,-0.451111
655960697762,0.354919,-0.276062,0.77063,-0.451538
655960714252,0.354858,-0.275696,0.770691,-0.451721
655960736749,0.354553,-0.275757,0.770874,-0.45166
655960757814,0.354309,-0.276001,0.770935,-0.451538
655960774198,0.354004,-0.276245,0.771057,-0.451416
655960796726,0.35376,-0.276672,0.771179,-0.451172
655960817832,0.353516,-0.277405,0.771301,-0.450745
655960834213,0.352966,-0.278137,0.771484,-0.450439
655960864177,0.352844,-0.278748,0.771484,-0.450073
655960879181,0.352661,-0.278992,0.771606,-0.449951
655960894212,0.352661,-0.278992,0.771545,-0.449951
655960916736,0.352478,-0.278931,0.771667,-0.450012
655960939154,0.352539,-0.27887,0.771545,-0.450134
655960954196,0.3526,-0.27887,0.771667,-0.44989
655960976742,0.352478,-0.278931,0.771851,-0.449646
655960999238,0.352478,-0.278931,0.771851,-0.449707
655961021787,0.352661,-0.279114,0.77179,-0.449463
655961036738,0.353027,-0.279358,0.771729,-0.449158
655961059203,0.352844,-0.279236,0.771912,-0.449036
655961073479,0.352661,-0.278564,0.771973,-0.449524
655961096721,0.353271,-0.278748,0.771912,-0.449097
655961119232,0.353577,-0.278503,0.771729,-0.449219
655961133492,0.354553,-0.277893,0.771362,-0.449463
655961156683,0.353149,-0.277283,0.77179,-0.450256
655961179221,0.35376,-0.277344,0.771545,-0.450134
655961193550,0.354065,-0.277161,0.771423,-0.450256
655961216652,0.354065,-0.2771,0.771301,-0.450439
655961239327,0.353638,-0.276306,0.771484,-0.45105
