timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
98217204226,-1,0,0,21,5,0,1,1
98217204226,-3,0,1,-11,2,0,-4,-22
98217212908,0,0,-3,-4,1,1,0,28
98217212908,0,0,1,-1,-13,-1,2,-2
98217213691,-2,-3,11,-18,-1,-2,-8,-1
98217213691,-1,-1,-30,34,1,1,13,0
98217214501,1,3,9,-13,-5,-1,-1,-13
98217214501,-2,2,20,6,6,-1,-4,-1
98217215315,-1,-4,-6,-3,-6,-1,-4,0
98217215315,1,0,3,-6,-8,-3,-5,2
98217225934,-3,-3,-7,6,3,-1,1,-1
98217225934,-1,-2,-10,0,-2,1,2,-4
98217242209,0,-1,0,-3,-6,-9,-10,-7
98217242209,-1,-1,4,-11,-1,5,18,-5
98217243863,0,-1,-8,-6,-4,3,-9,16
98217243863,-2,-3,-4,-9,4,-1,-4,0
98217256571,-1,0,7,-12,1,-3,0,-15
98217256571,1,0,-7,8,4,-1,-3,28
98217271680,-1,-2,10,-22,-1,-7,-6,-12
98217271680,-1,-3,-21,-5,-5,-1,8,-2
98217272448,0,2,-16,9,1,3,0,7
98217272448,-1,-1,9,-17,4,-7,-6,-8
98217318391,0,2,1,10,3,1,-2,1
98217318391,-3,0,3,11,3,0,-2,-4
98217319151,-1,-1,1,0,3,0,-1,-1
98217319151,1,2,-6,-12,-1,0,0,3
98217319983,-3,-3,-1,-12,-4,-4,-2,0
98217319983,-2,-3,13,-3,-1,-1,-1,-2
98217323252,2,1,-3,8,-15,2,1,4
98217323252,-1,0,-7,-10,-2,-1,-5,-2
98217330695,-2,-3,1,9,3,-5,0,-12
98217330695,0,-2,-5,-14,-6,14,1,6
98217347850,-1,0,-1,-26,5,-2,3,-5
98217347850,-3,-3,0,17,0,-2,-7,1
98217348659,-1,-2,-8,-7,-6,-3,2,-6
98217348659,0,1,3,5,-6,-8,-1,-3
98217360722,-3,-3,-1,11,-3,0,-4,0
98217360722,-2,-2,-2,1,-3,0,-1,-5
98217368235,1,0,4,-11,3,3,0,3
98217368235,0,-1,-2,7,3,-1,0,0
98217391345,-3,-1,-2,3,-2,-2,-1,-16
98217391345,0,-3,-21,-4,0,-3,0,10
98217392116,-2,0,18,-2,-9,-1,1,1
98217392116,0,-1,5,3,2,-2,-2,3
98217407858,-3,-3,-12,-21,0,-5,-2,-8
98217407858,-1,-1,25,-8,-5,3,-5,-6
98217408640,0,-1,-32,-27,1,2,-4,3
98217408640,-1,-2,-8,55,-10,-1,1,-6
98217428816,-1,0,1,28,3,0,-7,3
98217428816,-2,-2,0,-5,0,-6,1,-5
98217429620,0,-2,3,30,4,5,-2,7
98217429620,-2,0,-4,-26,1,-7,8,-2
98217451798,0,-1,-1,-12,3,0,-7,6
98217451798,-4,-2,0,0,-3,0,17,2
98217458907,-1,0,-14,1,-5,-6,-16,-10
98217458907,-1,-2,-9,-15,-2,2,7,1
98217466322,-1,-4,5,14,1,-1,-1,3
98217466322,1,0,-6,-12,-1,0,-6,-6
98217467122,-3,-4,25,18,-3,0,6,5
98217467122,1,3,0,-13,3,0,-8,1
98217488904,0,-1,-16,-5,-5,-4,5,3
98217488904,1,1,10,-5,-3,-2,-8,-2
98217489650,-1,1,-15,-21,-2,-1,6,-7
98217489650,-2,-4,-10,-2,-17,-8,-14,-3
98217511449,2,4,16,0,0,5,-18,0
98217511449,0,1,4,1,1,4,26,-3
98217512171,1,2,-2,24,1,-2,-4,2
98217512171,-5,-10,6,-26,3,-2,-2,-1
98217526396,-2,1,1,-5,-4,-7,5,-2
98217526396,-4,-1,3,6,2,-2,-15,-3
98217527183,-2,-2,4,-30,2,2,16,3
98217527183,-3,2,-3,16,0,-1,-1,-20
98217548920,-3,-3,-5,33,5,-1,-4,27
98217548920,1,-2,13,5,4,-2,-2,1
98217549642,2,1,2,-21,-1,-4,-10,-3
98217549642,0,3,9,-11,4,-3,-8,-3
98217571376,-1,-5,-7,-15,-3,-1,12,-6
98217571376,-1,-2,-1,21,-4,-3,-20,-3
98217572127,-5,-6,1,21,1,-2,13,4
98217572127,0,-6,-6,-10,-1,7,-4,0
98217586370,1,2,-4,-27,1,-10,2,-7
98217586370,-1,1,20,9,-8,-2,-5,1
98217587184,1,6,11,17,2,0,-10,-7
98217587184,-3,-1,-17,4,-1,-5,-5,3
98217608913,-3,-4,9,-6,1,2,6,0
98217608913,2,0,-21,21,5,2,8,-3
98217609655,-2,0,6,-13,-5,1,1,1
98217609655,-2,1,1,42,6,-3,3,1
98217631374,-1,-1,-2,-8,-6,3,-1,-3
98217631374,-4,-2,-13,-44,-2,-3,-3,0
98217632175,-2,-2,5,28,2,0,-4,-1
98217632175,1,2,5,-24,5,-3,1,6
98217646373,-1,-1,-40,19,-3,-4,-9,-8
98217646373,-4,-9,8,-6,-8,-2,6,-2
98217647131,-2,-7,19,-18,-2,-1,-4,-4
98217647131,0,4,-1,15,2,0,3,-1
98217668920,0,-5,-26,2,-10,-3,-2,-3
98217668920,1,4,19,7,5,3,0,2
98217669651,-3,3,-36,-18,-7,-7,-4,-3
98217669651,0,0,13,13,-11,-2,0,-1
98217692023,-1,-5,-3,-20,9,0,1,-1
98217692023,3,4,-15,-46,17,1,0,-1
98217692789,0,-1,21,51,1,-1,-3,-2
98217692789,-2,-3,4,4,8,2,-2,0
98217714582,-1,1,1,-27,-11,-1,-2,-2
98217714582,-3,-5,-11,-24,-13,-5,-1,-3
98217715345,0,-3,-22,-8,-2,-1,-18,-2
98217715345,1,1,-11,-31,10,1,16,5
98217728977,-1,0,44,-19,4,-4,-5,-5
98217728977,-2,1,-30,73,13,4,15,3
98217729713,0,-1,0,-22,-12,3,0,0
98217729713,-1,1,-31,-24,-6,-1,3,-3
98217751385,0,-1,22,29,-4,0,-9,-2
98217751385,-1,-1,4,-20,-5,-3,-1,-2
98217752147,-1,2,-12,9,4,-6,-2,-1
98217752147,-2,-2,0,-19,4,9,-3,-1
98217767205,-2,3,4,55,-2,-4,2,-2
98217767205,1,-1,1,-33,-19,-5,-7,-2
98217774004,-1,-6,-16,11,23,0,7,2
98217774004,-1,-1,27,-23,-7,-4,-4,-4
98217788907,1,2,-1,9,-4,0,7,0
98217788907,-2,-4,-5,-8,-5,-4,-4,-2
98217789666,-1,-1,-9,-26,-4,-1,-12,-2
98217789666,-2,-6,-1,25,-11,5,15,4
98217811354,1,-1,-11,-16,11,4,1,1
98217811354,-1,-2,-2,8,-3,-5,-2,-2
98217812129,-2,-2,13,-26,-2,0,4,-3
98217812129,-3,-4,-1,4,4,-5,-8,-3
98217825753,-1,-1,-15,-21,-9,4,-6,-1
98217825753,-3,0,0,13,-9,-6,-1,-2
98217833923,-2,-3,7,-14,5,-5,-12,-2
98217833923,-1,-2,-1,-4,4,3,17,2
98217848911,-4,-2,26,-15,-1,-5,-1,0
98217848911,0,-2,-12,26,1,2,-10,-2
98217849706,1,2,-4,10,-6,-2,9,-1
98217849706,1,1,-15,-7,4,-7,-10,1
98217871422,-2,-2,-5,-1,-4,-2,-2,-3
98217871422,-1,-1,16,8,6,3,-7,-12
98217872128,-1,-2,5,-3,-4,2,15,19
98217872128,0,0,-16,-14,-4,-4,-9,0
98217885785,-1,2,0,20,2,-1,0,-1
98217885785,1,0,9,-27,14,-1,-9,-6
98217893949,-2,-2,-13,50,1,-3,-7,-7
98217893949,-1,1,25,-17,-10,-6,-5,-5
98217908929,-1,-2,14,24,9,4,5,3
98217908929,-2,-1,-31,-1,2,-2,1,4
98217909697,-1,-1,-8,6,-7,-1,-1,-5
98217909697,0,-2,-14,15,-1,-3,-6,2
98217931383,-2,2,10,-9,6,0,-3,-6
98217931383,0,-4,1,7,-8,3,-9,3
98217932156,-2,-2,5,-15,-2,0,18,1
98217932156,-3,-2,-11,3,1,-2,-1,1
98217954572,0,0,-3,-7,2,2,1,-3
98217954572,-1,1,5,-6,3,-4,2,-9
98217955342,2,-2,-5,-14,-7,2,-6,2
98217955342,1,-1,13,6,0,-4,-6,-2
98217968936,-2,-1,17,9,-5,1,-12,-1
98217968936,-3,-3,0,-36,-2,-1,19,1
98217969665,-3,1,-5,62,8,0,2,-8
98217969665,-3,-2,11,17,-3,-1,0,-2
98217991521,-2,-5,-14,12,-2,-7,-2,-3
98217991521,1,2,4,7,-3,1,-4,4
98217992205,-2,-2,4,-44,-22,-4,-5,-1
98217992205,-3,-4,-19,8,-1,1,-2,-1
98218007223,2,1,3,4,-9,-3,0,-2
98218007223,0,-3,1,18,3,-2,-5,7
98218021466,0,-3,14,4,6,2,0,-2
98218021466,-3,-3,8,-10,-3,-3,-8,-10
98218029015,-1,-2,-10,-35,-2,-2,8,-9
98218029015,-3,1,-16,3,-1,0,-2,6
98218029622,2,-3,-13,-6,-2,-3,-1,18
98218029622,-1,-1,-11,3,-3,5,-4,0
98218059715,-2,-2,-8,-17,0,-3,-15,1
98218059715,1,0,2,-13,-1,0,12,2
98218060311,-3,0,12,4,1,-1,-5,-10
98218060311,-1,0,-1,-1,-6,-4,2,2
98218065771,0,-2,-3,-10,-4,-3,-2,1
98218065771,-3,0,0,13,-9,-3,-10,-7
98218073933,-3,1,-6,-28,8,5,-4,-4
98218073933,1,-1,8,16,4,0,2,-2
98218089323,-1,-3,7,16,4,0,2,2
98218089323,-2,-2,-10,0,-5,-1,-1,0
98218096408,-1,-1,-22,-9,5,-5,2,-4
98218096408,2,0,5,4,-1,3,0,1
98218111401,0,1,4,-3,-4,-1,2,-5
98218111401,-3,-4,-3,18,-3,-4,0,8
98218112174,1,2,9,-6,4,-1,14,-2
98218112174,-5,-3,-24,-15,-3,0,-2,-4
98218134626,-2,-2,-16,26,1,-4,-1,-5
98218134626,-2,1,14,-18,4,0,0,-6
98218135385,1,2,22,-6,-4,-6,-16,-6
98218135385,-3,-3,-1,-2,-6,-5,-9,-22
98218148895,1,-2,-18,-34,10,4,21,38
98218148895,1,-3,2,25,-7,-1,-3,0
98218149705,-1,-1,4,-9,1,0,-2,0
98218149705,1,3,16,34,-3,0,-8,2
98218171403,-1,-1,0,-12,-9,-1,-11,-11
98218171403,-1,-3,-18,-34,1,-6,0,-6
98218172164,-1,-4,-3,6,3,3,-4,2
98218172164,-1,0,1,-11,-5,-3,-2,1
98218194747,-4,0,-9,12,-1,5,-4,-6
98218194747,-1,-1,5,-5,3,-1,-5,2
98218195351,-2,-3,-20,-3,-5,-4,8,-7
98218195351,-2,-1,-1,12,-2,-3,1,3
98218209086,-1,-3,-5,-25,2,-3,0,0
98218209086,0,-2,28,-5,-16,1,-5,-6
98218209712,-1,0,-6,-9,0,-2,-6,0
98218209712,-2,-3,-7,-5,-2,-1,5,2
98218231499,-2,0,10,-2,6,-3,-3,-4
98218231499,0,0,-10,-7,-2,-2,-1,-3
98218232202,0,-2,22,15,-1,2,0,2
98218232202,0,2,-2,-25,-6,-3,-3,2
98218262305,-1,-3,1,18,0,-1,4,-5
98218262305,-1,1,-7,-15,3,1,2,1
98218262861,-2,-3,-3,24,-6,-3,-3,0
98218262861,0,-3,-10,-9,-2,0,3,-3
98218269107,-1,2,2,-30,-3,-1,-14,-1
