timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
28515485450,-2,-4,29,2,6,24,3,1
28515485450,9,6,-100,10,21,49,18,8
28515486156,-8,-4,103,-17,-25,-68,-24,-10
28515486156,-5,-5,26,-3,-2,3,1,-2
28515486910,7,3,-83,12,19,51,18,8
28515486910,-5,-3,76,-10,-18,-49,-16,-7
28515487724,-4,-4,-128,1,1,9,2,-3
28515487724,2,-1,-80,6,13,32,10,4
28515498609,1,1,3,-3,-5,-19,-4,-1
28515498609,-8,-6,74,-7,-13,-30,-14,-6
28515515879,1,-1,-90,5,9,29,7,2
28515515879,4,3,-14,5,4,13,7,0
28515518824,-8,-6,53,-12,-19,-46,-19,-7
28515518824,-2,-5,-94,-1,2,11,2,0
28515529591,5,2,-17,8,13,34,10,3
28515529591,-3,-1,48,-10,-12,-32,-11,-6
28515536042,-6,-3,-12,-5,-4,-8,-2,-3
28515536042,1,0,-31,4,5,21,8,2
28515544673,0,-1,-20,-2,-1,-4,0,0
28515544673,-5,-4,22,-4,-9,-18,-10,-4
28515559503,1,-2,-80,-2,1,7,3,0
28515559503,1,1,-31,-1,1,4,2,1
28515566695,-2,-3,34,-5,-7,-14,-7,-2
28515566695,-1,-2,56,0,0,3,0,1
28515604626,-10,-6,111,-13,-24,-58,-23,-10
28515604626,-3,-3,-1,3,4,17,4,1
28515613487,8,6,-91,6,16,38,15,4
28515613487,-8,-4,88,-14,-23,-62,-21,-9
28515614279,-3,-4,-52,2,3,12,3,1
28515614279,8,4,-68,10,18,47,17,4
28515615074,-5,-1,49,-10,-20,-50,-18,-7
28515615074,-7,-7,-53,-5,-3,-1,-5,-4
28515626369,5,2,-93,8,12,37,10,4
28515626369,2,1,21,-6,-7,-25,-7,-2
28515633170,-8,-5,48,-7,-11,-25,-9,-6
28515633170,-1,-2,-16,2,7,23,5,2
28515640680,4,4,-51,1,7,16,8,4
28515640680,-7,-4,37,-12,-17,-42,-18,-7
28515655709,-3,-5,1,-2,0,8,-1,-1
28515655709,5,2,-55,7,13,32,14,6
28515663268,-3,-1,24,-6,-8,-23,-8,-2
28515663268,-4,-3,23,-3,-4,-8,-3,-1
28515672162,0,-2,-54,4,6,18,5,3
28515672162,0,1,-45,-2,-2,-6,-1,0
28515686390,-4,-4,4,-4,-6,-13,-5,-5
28515686390,-1,-1,-59,0,1,4,3,0
28515693188,1,0,-42,1,1,2,-1,0
28515693188,-2,-2,4,-6,-7,-12,-7,-4
28515700727,0,-1,-101,0,1,4,-1,-2
28515700727,-1,-2,-46,1,3,7,1,-1
28515715682,-3,-4,27,-5,-7,-14,-6,-4
28515715682,-2,-1,-33,2,-1,2,1,-1
28515723197,0,-2,-17,0,2,8,4,0
28515723197,-3,-1,56,-3,-4,-12,-4,-3
28515732213,-2,-3,1,-2,-1,-3,-1,-2
28515732213,1,-2,-47,1,2,5,2,0
28515746514,1,-2,-14,-3,-1,-1,0,0
28515746514,-3,-4,-20,-2,-4,-5,-1,-2
28515753263,-1,-1,-47,-4,0,2,0,-2
28515753263,1,-1,-14,-1,0,4,1,-2
28515760729,-4,-2,-6,-4,-4,-7,-4,-3
28515760729,-2,-1,13,-3,-3,-2,-1,-1
28515775703,0,0,-27,-3,0,6,0,-1
28515775703,-2,-1,-11,-4,-3,-9,-4,-1
28515783241,0,-2,-9,0,0,3,1,-1
28515783241,-1,-1,-19,-4,-1,1,-2,-1
28515792182,-1,0,-16,-2,-2,-5,0,-3
28515792182,-2,-1,1,-2,-2,-2,-2,-3
28515806605,0,-1,-35,-3,-1,1,-3,-2
28515806605,0,-1,-41,-1,-2,-3,-3,-2
28515821427,-2,-2,-7,-4,-3,-7,-4,1
28515821427,-2,-1,-36,-3,0,2,0,-1
28515822179,-1,0,2,0,1,5,0,-1
28515822179,0,-2,25,-3,-5,-8,-2,-2
28515835885,0,1,-19,0,3,6,1,2
28515835885,1,-1,-27,3,0,3,0,-1
28515843229,0,0,-9,-2,-1,-7,-2,-3
28515843229,-3,-1,-36,-1,-2,0,-2,-1
28515852165,1,1,-6,1,0,1,0,0
28515852165,-2,-1,-2,-3,-1,-3,0,2
28515866399,-2,-3,32,-3,-3,-6,-3,1
28515866399,0,0,41,2,1,3,0,2
28515873179,0,0,-13,1,0,4,2,1
28515873179,-2,-1,-5,-3,-4,-7,-2,-1
28515880723,-1,-2,0,-1,1,4,1,0
28515880723,0,0,-41,-2,0,3,2,-1
28515895686,-1,-2,-38,-4,-3,-7,-3,-1
28515895686,-2,0,10,-1,-1,-2,-6,-3
