timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533861131843926,18,7,7,9,-24,25,-4,-5
1533861131843926,-7,-4,-2,-3,20,-21,0,2
1533861131844918,-10,-2,-8,-6,9,-9,2,1
1533861131844918,10,0,75,1,-19,15,-2,-2
1533861131847910,-1,-4,-19,-6,9,-9,1,-1
1533861131847910,-12,-8,0,6,9,-8,-1,-1
1533861131850903,5,-1,10,0,-16,13,-2,-3
1533861131850903,3,1,-13,10,-5,4,-2,-3
1533861131854891,-13,-4,-3,-9,15,-22,0,4
1533861131854891,5,0,5,1,-9,7,-1,-1
1533861131867857,9,3,-5,8,-10,10,-2,-2
1533861131867857,-9,-1,-17,13,14,-19,1,1
1533861131878844,-6,-2,-1,-31,12,-2,-2,-3
1533861131878844,6,-1,-13,7,-29,11,-5,-4
1533861131884813,-1,-1,-30,-8,3,-7,-2,0
1533861131884813,-8,0,-6,0,7,-9,-1,0
1533861131894785,2,-7,92,12,-5,10,1,3
1533861131894785,6,1,-5,7,1,5,-1,-1
1533861131915745,-9,-4,-6,-12,2,-16,-2,-2
1533861131915745,2,4,2,5,-2,3,-2,0
1533861131915745,2,3,-31,-3,-7,3,-2,-2
1533861131915745,-5,-5,-49,-13,9,-7,1,-1
1533861131962604,17,13,-5,-16,-30,20,-5,-4
1533861131962604,-15,-15,-17,0,22,-25,3,2
1533861131962604,-6,-2,10,-10,-1,-2,-1,-3
1533861131962604,11,3,3,-5,-24,19,-2,-4
1533861131964600,-4,-4,-5,-2,22,-14,-1,3
1533861131964600,-6,0,-2,-9,-2,-3,-1,1
1533861131966593,5,2,-14,8,-14,10,-4,-3
1533861131966593,3,3,34,11,0,0,1,1
1533861131974575,-13,-5,-2,-2,11,-16,2,1
1533861131974575,7,7,16,-2,-9,14,-1,-2
1533861131983548,5,-3,-3,6,-8,7,-3,-2
1533861131983548,-10,-4,-15,-11,10,-18,-1,0
1533861131989531,-6,-4,2,7,3,2,1,-1
1533861131989531,8,19,-6,-1,-15,12,-4,-4
1533861132004671,-2,1,46,3,6,-10,0,1
1533861132004671,-6,-4,-18,-8,3,-7,-1,1
1533861132011617,1,-3,-10,3,-11,7,-3,-3
1533861132011617,3,5,48,11,0,0,-1,-2
1533861132035412,-7,-4,-17,-16,10,-9,1,1
1533861132035412,1,0,13,7,-2,3,-3,-1
1533861132036407,2,-4,-33,22,2,3,0,-2
1533861132036407,-5,-15,23,0,7,-7,1,1
1533861132050370,-3,-1,-30,-39,-28,-7,-2,-1
1533861132050370,2,0,61,2,1,6,0,-1
1533861132051366,-4,-1,20,2,9,-5,-3,1
1533861132051366,-2,-3,-15,18,5,0,-1,-1
1533861132073311,-1,-5,-20,1,3,7,-1,-3
1533861132073311,0,-1,-24,3,-1,-4,-1,-3
1533861132073311,-4,2,-7,-14,-8,-5,1,0
1533861132073311,1,0,-2,1,-4,4,-1,0
1533861132095248,1,2,6,-19,-2,-1,-1,0
1533861132095248,-5,2,-26,-3,5,-5,-1,0
1533861132096258,1,-3,12,8,0,0,0,-4
