timestamp,x,y,z
1533861131667393,-1.625,0.125,1.8125
1533861131689334,-2,0.4375,1.875
1533861131704322,-3.9375,0.8125,2.375
1533861131728242,-4.8125,0.9375,2.1875
1533861131750172,-4.0625,1.1875,2.125
1533861131765132,-3.1875,1.5,1.5625
1533861131788070,-0.625,1.25,1.4375
1533861131842923,2.9375,0.4375,1.5625
1533861131842923,4.75,0.4375,1.3125
1533861131865862,1.6875,0.9375,0.75
1533861131866869,-1.6875,0.6875,1.4375
1533861131880827,-0.8125,0.5,1.75
1533861131899993,0,0.5625,1.875
1533861131923711,-0.0625,0.9375,2.6875
1533861131951636,-0.8125,0.4375,2.6875
1533861131963601,-1.0625,0.25,2.5625
1533861131982554,0,0.375,2.25
1533861131997510,-1,0.0625,1.875
1533861132019454,-1.75,-0.125,1.5625
1533861132042396,-0.25,0,1.3125
1533861132064335,-1.0625,0.5,1.9375
1533861132079291,-1.75,0.1875,0.8125
1533861132102230,-1.5,-0.0625,0.75
1533861132117193,-1.625,-0.3125,0.6875
1533861132147110,-2.6875,0.25,0.9375
1533861132162074,-6.4375,1.4375,1.0625
1533861132177029,-6.875,0.3125,1.25
1533861132199969,-4.375,0.1875,1.625
1533861132222139,-2.9375,2.0625,1.6875
1533861132236873,-4.3125,1.875,0.4375
1533861132266793,-5.375,1.375,0.3125
1533861132282752,-4.8125,1.1875,1.375
1533861132296710,-4.5625,1.9375,1.3125
1533861132319652,-7.25,3.0625,1.1875
1533861132342590,-8.3125,1.5,1.1875
1533861132358545,-5.6875,0.875,0.75
1533861132379489,-3.75,2,0.625
1533861132402431,-5.125,3.5625,1.1875
1533861132418386,-5.25,0.6875,1.1875
1533861132442321,1.375,-1.125,0.6875
1533861132462285,6.375,-1.125,-1.375
1533861132478239,4.5,-0.3125,-2.25
1533861132499170,-1.125,0.375,-1
1533861132522107,-4.5625,0.4375,-1.125
1533861132539072,-1.8125,-0.125,-0.8125
1533861132567020,2.75,0.625,-0.1875
1533861132581947,2.8125,0.75,0.6875
1533861132599898,0.9375,0.75,0.6875
1533861132619853,-0.75,0.625,0.0625
1533861132641790,-1.9375,0.5,-0.25
1533861132658742,-1.9375,0.125,-0.125
1533861132679686,-0.625,0.125,0.0625
1533861132701631,1.5,-0.0625,-0.375
1533861132718582,1.125,-0.4375,-0.1875
1533861132739525,-0.125,-0.1875,-0.125
1533861132762465,-1,0.8125,-0.3125
1533861132780418,-0.9375,0.25,-0.3125
1533861132799365,-0.125,-0.875,0.1875
1533861132822304,2.25,-0.8125,0
1533861132840256,1.625,-0.5,0.0625
1533861132859209,-0.125,-0.3125,-0.3125
1533861132882144,0.75,-0.375,0.1875
1533861132905095,1.8125,-0.3125,0.4375
1533861132920192,3.8125,-0.625,0
1533861132943209,2.125,-0.75,-0.3125
1533861132959022,0.3125,-0.3125,0.1875
1533861132988935,0.1875,-0.125,-0.0625
1533861133009879,0.5625,-0.75,0.4375
1533861133018857,1.1875,-0.8125,0.0625
1533861133041794,0.5625,-0.375,-0.5625
1533861133062744,0.5,-0.25,-0.125
1533861133086674,1.125,-0.125,-0.3125
1533861133101635,2.25,-0.25,-0.5625
1533861133122579,4.1875,-1.3125,-0.6875
1533861133139532,5.75,-2.125,-1.125
1533861133161475,6.5625,-2.25,-1.4375
1533861133190397,7.125,-2.375,-1.25
1533861133199372,7.5625,-2.6875,-0.8125
1533861133229293,8.125,-2.875,-1.4375
1533861133243261,7.125,-2.5625,-1.3125
1533861133259240,6,-2.4375,-0.5625
1533861133281154,4.5625,-2.125,-0.4375
1533861133304098,3.4375,-1.9375,-0.1875
1533861133319063,0.5625,-0.6875,1.375
1533861133341992,-5.5625,-0.875,3.0625
1533861133363934,0.125,-3.625,2.0625
1533861133378893,5.375,-1.4375,-1.0625
1533861133401858,2.75,1.875,-0.25
1533861133423776,-3.8125,3.6875,-0.25
1533861133438733,-12.875,2.5625,0.75
1533861133461671,-10.5625,0.3125,1.6875
1533861133484610,0.6875,-1.8125,0.5
1533861133498582,8.8125,-0.375,0.875
1533861133521515,5.75,0.8125,0.8125
1533861133544458,-0.0625,0.25,0.75
1533861133558414,-2.8125,-1.125,-0.3125
1533861133581384,-0.1875,-1.625,-0.8125
1533861133604289,3.3125,-1.4375,-1.625
1533861133618252,3.75,-0.75,-1.9375
1533861133641398,1.125,-0.375,-0.8125
1533861133664130,0.4375,0,-0.625
1533861133678093,1.125,-0.375,-0.8125
1533861133702028,2.0625,-0.375,-0.5625
1533861133723974,3.1875,-0.25,-0.3125
1533861133738930,1.5,0.1875,-0.25
1533861133761913,0.25,0.4375,-0.0625
1533861133783810,-0.0625,-0.0625,-0.0625
1533861133804753,0.1875,-0.375,-0.75
1533861133821708,1.5625,-0.625,-0.9375
1533861133844648,-0.5625,0.5,-0.875
1533861133865594,-3.0625,0.5625,-0.5625
1533861133881551,-3.25,0.25,-0.0625
